,precision,recall,f1-score,support
0.0,0.5285714285714286,0.10882352941176471,0.1804878048780488,340.0
1.0,0.5152,0.9070422535211268,0.6571428571428571,355.0
accuracy,0.516546762589928,0.516546762589928,0.516546762589928,0.516546762589928
macro avg,0.5218857142857143,0.5079328914664457,0.418815331010453,695.0
weighted avg,0.5217414182939363,0.516546762589928,0.42395909056726744,695.0
