,precision,recall,f1-score,support
0.0,0.6403508771929824,0.6066481994459834,0.6230440967283072,361.0
1.0,0.5977337110481586,0.6317365269461078,0.6142649199417758,334.0
accuracy,0.6187050359712231,0.6187050359712231,0.6187050359712231,0.6187050359712231
macro avg,0.6190422941205705,0.6191923631960456,0.6186545083350414,695.0
weighted avg,0.6198701095780599,0.6187050359712231,0.618825039107154,695.0
