timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-04,46538.0,45938.0,47575.0,45725.0,24895990583.663242,876242689666.1957,-0.012826095868908363,48146.0,46379.0,-1,False,True,-0.001,1,0.001,-0.0,,,,,
2022-01-05,45873.0,43647.0,47081.0,42467.0,31837641246.01787,827723202715.1049,-0.05115810986620147,48119.200000000004,46454.6,-1,False,False,0.05115810986620147,0,0.0,0.05115810986620147,,,,,
2022-01-06,43526.0,43216.0,43929.0,42604.0,26366602396.811768,819522879407.0583,-0.009923754351101606,48008.96000000001,46325.880000000005,-1,False,False,0.009923754351101606,0,0.0,0.009923754351101606,,,,,
2022-01-07,43201.0,41527.0,43201.0,40685.0,79685254648.07628,787735561341.1113,-0.03986697895396469,47922.168000000005,46205.704000000005,-1,False,False,0.03986697895396469,0,0.0,0.03986697895396469,,,,,
2022-01-08,41532.0,41757.0,42702.0,40617.0,23337017232.770664,792892599975.9554,0.005523283817078168,47753.934400000006,45457.963200000006,-1,False,False,-0.005523283817078168,0,0.0,-0.005523283817078168,,,,,
2022-01-09,41670.0,41862.0,42894.0,41421.0,18016718173.608612,791648558214.5575,0.0025113922717813755,46988.94752000001,44887.170560000006,-1,False,False,-0.0025113922717813755,0,0.0,-0.0025113922717813755,,,,,
2022-01-10,41888.0,41870.0,42415.0,39692.0,27984634062.049942,792407724467.5966,0.00019108584589743027,46231.35801600001,44046.736448,-1,False,False,-0.00019108584589743027,0,0.0,-0.00019108584589743027,,,,,
2022-01-11,41891.0,42777.0,43223.0,41383.0,22813557397.82151,809621515508.4065,0.021430994937039823,45525.48641280001,43360.7891584,-1,False,False,-0.021430994937039823,0,0.0,-0.021430994937039823,,,,,
2022-01-12,42811.0,43982.0,44288.0,42544.0,28250302540.221024,832460077955.3481,0.027779884340564314,44999.18913024001,42972.83132672001,-1,False,False,-0.027779884340564314,0,0.0,-0.027779884340564314,,,,,
2022-01-13,43946.0,42608.0,44391.0,42388.0,43905745871.292786,806510860231.8285,-0.031738430237079666,44482.35130419201,42316.66506137601,-1,False,False,0.031738430237079666,0,0.0,0.031738430237079666,,,,,
2022-01-14,42563.0,43121.0,43495.0,41794.0,20238314434.86153,816129314317.4397,0.011968088354875632,44230.48104335361,42129.93204910081,-1,False,False,-0.011968088354875632,0,0.0,-0.011968088354875632,0.0,time,5.0,-0.0323,0.0256
2022-01-15,43192.0,43227.0,43803.0,42586.0,14651008624.734596,816800318526.6782,0.002455182592454678,44241.984834682895,42212.74563928065,-1,False,False,-0.002455182592454678,0,0.0,-0.002455182592454678,0.0,lower,5.0,-0.06,0.0237
2022-01-16,43173.0,43120.0,43570.0,42739.0,14452346388.550371,816325578941.135,-0.0024783734181649942,44271.787867746316,42247.79651142452,-1,False,False,0.0024783734181649942,0,0.0,0.0024783734181649942,0.0,lower,4.0,-0.0576,0.0219
2022-01-17,43138.0,42298.0,43184.0,41641.0,17694929625.845875,800822650383.9624,-0.01924712299018358,44116.43029419705,42157.03720913962,-1,False,False,0.01924712299018358,0,0.0,0.01924712299018358,0.0,lower,4.0,-0.1472,0.0213
2022-01-18,42311.0,42395.0,42621.0,41339.0,18897950050.285973,803962100417.9756,0.002290627145408093,44053.74423535765,42242.8297673117,-1,False,False,-0.002290627145408093,0,0.0,-0.002290627145408093,0.0,lower,2.0,-0.0406,0.02
2022-01-19,42401.0,41750.0,42653.0,41244.0,19626113309.554142,790507925308.7825,-0.015330979459101893,43956.99538828612,42342.06381384936,-1,False,False,0.015330979459101893,0,0.0,0.015330979459101893,0.0,lower,2.0,-0.1341,0.0191
2022-01-20,41752.0,40708.0,43508.0,40708.0,20930163211.171124,774235809673.4731,-0.025274817967179373,43802.3963106289,42201.85105107949,-1,False,False,0.025274817967179373,0,0.0,0.025274817967179373,0.0,lower,1.0,-0.1089,0.0192
