timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,exit_long,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-02,47807.0,47387.0,48012.0,46757.0,33756128241.98571,897536090320.9355,-0.009012382040889307,48128.13333333334,46429.4,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-03,47371.0,46531.0,47568.0,45811.0,21890019531.577713,880330191985.1965,-0.018229172344592565,48053.448888888895,46346.94666666667,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-04,46538.0,45938.0,47575.0,45725.0,24895990583.663242,876242689666.1957,-0.012826095868908363,47989.65570370371,46264.020444444446,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-05,45873.0,43647.0,47081.0,42467.0,31837641246.01787,827723202715.1049,-0.05115810986620147,47868.501609876555,45757.751051851854,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-06,43526.0,43216.0,43929.0,42604.0,26366602396.811768,819522879407.0583,-0.009923754351101606,47343.234728559684,45337.25091160494,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-07,43201.0,41527.0,43201.0,40685.0,79685254648.07628,787735561341.1113,-0.03986697895396469,46790.93676475173,44716.95079005761,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-08,41532.0,41757.0,42702.0,40617.0,23337017232.770664,792892599975.9554,0.005523283817078168,46245.745196118165,44170.2906847166,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-09,41670.0,41862.0,42894.0,41421.0,18016718173.608612,791648558214.5575,0.0025113922717813755,45798.845836635744,43803.71859342106,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-10,41888.0,41870.0,42415.0,39692.0,27984634062.049942,792407724467.5966,0.00019108584589743027,45347.66639175098,43255.48944763158,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-11,41891.0,42777.0,43223.0,41383.0,22813557397.82151,809621515508.4065,0.021430994937039823,45064.37753951752,43005.82418794737,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-12,42811.0,43982.0,44288.0,42544.0,28250302540.221024,832460077955.3481,0.027779884340564314,44960.86053424852,42944.24762955439,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-13,43946.0,42608.0,44391.0,42388.0,43905745871.292786,806510860231.8285,-0.031738430237079666,44884.87912968205,42870.08127894714,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-14,42563.0,43121.0,43495.0,41794.0,20238314434.86153,816129314317.4397,0.011968088354875632,44699.56191239111,42726.60377508752,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-15,43192.0,43227.0,43803.0,42586.0,14651008624.734596,816800318526.6782,0.002455182592454678,44580.0203240723,42707.85660507585,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-16,43173.0,43120.0,43570.0,42739.0,14452346388.550371,816325578941.135,-0.0024783734181649942,44445.350947529325,42712.00905773241,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-17,43138.0,42298.0,43184.0,41641.0,17694929625.845875,800822650383.9624,-0.01924712299018358,44277.170821192085,42569.207850034756,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-18,42311.0,42395.0,42621.0,41339.0,18897950050.285973,803962100417.9756,0.002290627145408093,44056.34804503314,42405.18013669679,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-19,42401.0,41750.0,42653.0,41244.0,19626113309.554142,790507925308.7825,-0.015330979459101893,43869.23497236206,42250.356118470554,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-20,41752.0,40708.0,43508.0,40708.0,20930163211.171124,774235809673.4731,-0.025274817967179373,43821.07030938045,42044.70863600782,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-21,40667.0,36509.0,41179.0,35762.0,38296960033.31628,692855029162.9379,-0.10886582779347702,43468.79426812972,41207.01415120678,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-22,36385.0,35180.0,36801.0,34020.0,35517336417.257744,666220701468.4846,-0.03708106622679605,42579.75503237909,40248.74559771254,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-23,35219.0,36306.0,36706.0,34805.0,22865032968.608204,687575973800.0704,0.03150527755882725,41796.58769472855,39522.91285135087,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-24,36265.0,36774.0,37476.0,33065.0,36385158448.60688,696465421899.37,0.012808056863410392,41220.50933543141,38661.857804504085,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-25,36675.0,36989.0,37542.0,35707.0,46168918584.85349,700571452648.8236,0.00582949741367499,40730.04142404056,38267.87676390354,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-26,36955.0,36870.0,39216.0,36355.0,26756873749.744743,700165819656.2855,-0.0032223588992716396,40528.16923416848,38012.8265287164,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-27,36886.0,37277.0,37277.0,35580.0,22057410457.280827,702311456032.8538,0.01097830223027956,40094.68000294602,37688.44965822088,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-28,37367.0,37853.0,38022.0,36244.0,19214103304.052933,717026944842.8334,0.015333722503979153,39818.32266921989,37495.856370458096,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-29,37782.0,38232.0,38782.0,37422.0,14178650231.62196,722829009646.1814,0.009962624295545223,39680.1463133239,37486.00885439702,0,False,False,0.0,0,0.0,0.0,,,,,
2022-01-30,38254.0,37983.0,38386.0,37504.0,11807185113.633108,719570142321.8397,-0.006534170069631306,39507.593471547385,37488.407673810754,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-01-31,37995.0,38556.0,38715.0,36832.0,17731563487.283978,727905398095.9747,0.014973038715495796,39401.91434200774,37400.886650635985,0,False,False,0.0,0,0.0,0.0,,,,,
2022-02-01,38430.0,38836.0,39138.0,38196.0,17109120250.158987,736102274236.6057,0.00723592158617684,39366.72576307337,37506.90176388452,0,False,False,0.0,0,0.0,0.0,,,,,
2022-02-02,38801.0,37001.0,38900.0,36849.0,16709908527.231106,700645616423.8325,-0.048402712201870486,39304.49566133026,37419.18152869992,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-02-03,37052.0,37101.0,37180.0,36415.0,16136299994.837618,703003347951.7092,0.0026989841220017353,39021.22957315289,37285.2906582066,0,False,False,0.0,0,0.0,0.0,,,,,
2022-02-04,37282.0,41674.0,41674.0,37128.0,25347215343.882504,777355085535.6107,0.11623350971997881,39374.9322967325,37264.31857044572,1,True,False,-0.001,1,0.001,0.0,1.0,time,5.0,0.063,0.0455
2022-02-05,41617.0,41494.0,41957.0,41191.0,16752051696.248552,786295053042.2418,-0.004328594677060671,39719.2079905015,37787.876094386294,1,False,False,-0.004328594677060671,0,0.0,-0.004328594677060671,1.0,time,5.0,0.0502,0.0433
2022-02-06,41518.0,42476.0,42526.0,41387.0,13206494654.908047,804942041477.0581,0.02339037207065127,40093.4469251013,38267.75928180145,1,False,False,0.02339037207065127,0,0.0,0.02339037207065127,0.0,time,5.0,-0.0007,0.0415
2022-02-07,42413.0,43911.0,44476.0,41788.0,24171856714.475758,833392518214.8341,0.033225647628320386,40677.78733508779,38737.1247108946,1,False,False,0.033225647628320386,0,0.0,0.033225647628320386,0.0,time,5.0,-0.0384,0.0402
2022-02-08,43978.0,44184.0,45302.0,42901.0,29024977264.932137,837406846076.2306,0.006197874428966801,41294.349023742754,39292.30808277532,1,False,False,0.006197874428966801,0,0.0,0.006197874428966801,0.0,time,5.0,-0.0448,0.0382
2022-02-09,44166.0,44384.0,44758.0,43309.0,19780565063.098923,841339973338.8694,0.004516311533534641,41756.169153910385,39827.867005071945,1,False,False,0.004516311533534641,0,0.0,0.004516311533534641,0.0,time,5.0,-0.0402,0.0363
2022-02-10,44390.0,43628.0,45694.0,43341.0,27877618433.98099,826942197610.3904,-0.017179898065924654,42281.213266722334,40296.28473772902,1,False,False,-0.017179898065924654,0,0.0,-0.017179898065924654,1.0,time,5.0,0.0215,0.0354
2022-02-11,43477.0,42445.0,43926.0,42158.0,23279080009.72499,803706779791.898,-0.02749002587656531,42500.51816449269,40544.51343936515,1,False,False,-0.02749002587656531,0,0.0,-0.02749002587656531,1.0,time,5.0,0.0374,0.0352
2022-02-12,42437.0,42255.0,43039.0,41914.0,15479727288.782782,799547462142.6093,-0.004486430193485452,42572.315742560335,40727.1116474498,1,False,False,-0.004486430193485452,0,0.0,-0.004486430193485452,0.0,time,5.0,-0.0409,0.0335
2022-02-13,42268.0,42248.0,42751.0,41992.0,12146423251.39967,802059713029.3901,-0.00016567459181362007,42596.14031021896,40895.763427789825,1,False,False,-0.00016567459181362007,0,0.0,-0.00016567459181362007,0.0,time,5.0,-0.0529,0.0319
2022-02-14,42172.0,42635.0,42857.0,41715.0,18090873762.822777,808280617642.0496,0.009118496789380818,42630.92160218977,41004.994970751184,1,False,False,0.009118496789380818,0,0.0,0.009118496789380818,0.0,lower,4.0,-0.062,0.0304
2022-02-15,42626.0,44574.0,44707.0,42527.0,19801081788.555756,848321283143.9929,0.04447521720371131,42907.732055231136,41207.928974651026,1,False,False,0.04447521720371131,0,0.0,0.04447521720371131,0.0,lower,2.0,-0.0943,0.0315
2022-02-16,44527.0,44063.0,44527.0,43515.0,16847003857.433496,836256083783.791,-0.011530301371888846,43123.634447866985,41515.53844469756,1,False,False,-0.011530301371888846,0,0.0,-0.011530301371888846,0.0,lower,1.0,-0.0828,0.0304
2022-02-17,43954.0,40563.0,44194.0,40329.0,22270664615.4777,770096677778.6456,-0.08276410698110466,43266.34985481806,41357.33331873789,0,False,True,-0.08376410698110466,1,0.001,-0.08276410698110466,,,,,
2022-02-18,40558.0,40073.0,40994.0,39791.0,20130002755.177864,759881874201.3011,-0.012153530219933288,42963.36987417565,41148.488876239506,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-02-19,40056.0,40193.0,40442.0,39763.0,11735183838.17719,761447243939.9269,0.0029900602846683042,42627.18722428557,40963.75702607424,0,False,False,0.0,0,0.0,0.0,,,,,
2022-02-20,40188.0,38514.0,40188.0,38195.0,15998424231.017673,730381814665.4404,-0.04267103955176942,42301.96226104749,40594.58942259768,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-02-21,38512.0,37060.0,39468.0,36957.0,25174914104.16337,703004241590.1829,-0.038483590700482385,41924.10062624116,40109.57749958466,0,False,False,-0.0,0,0.0,-0.0,,,,,
2022-02-22,37162.0,38337.0,38344.0,36546.0,22212181617.200245,727094284067.6588,0.033877266437462174,41446.75387607567,39634.43383297337,0,False,False,0.0,0,0.0,0.0,,,,,
