Date,Close,state,raw_state,returns,cum_returns,portfolio_value,transaction_costs,cumulative_costs,bnh_returns,bnh_cum_returns,bnh_portfolio_value
2024-04-05,68542.0,Flat,2,0.0,1.0,1000.0,0.0,0.0,0.0,1.0,1000.0
2024-04-06,67979.0,Long,1,0.0,1.0,1000.0,0.0,0.0,-0.008213941816696324,0.9917860581833037,991.7860581833037
2024-04-07,69001.0,Long,1,-0.0010000000000000009,0.999,999.0,1.0,1.0,0.015034054634519567,1.0066966239677864,1006.6966239677863
2024-04-08,69402.0,Long,1,0.015236804102443102,1.0142215672983408,1014.2215672983407,0.0,1.0,0.005811509978116192,1.0125470514429111,1012.5470514429111
2024-04-09,71624.0,Long,1,0.006952508128193147,1.0212729509887712,1021.2729509887712,0.0,1.0,0.03201636840436883,1.0449651308686647,1044.9651308686648
2024-04-10,69159.0,Long,1,0.032490090090090185,1.0544542011729687,1054.4542011729686,0.0,1.0,-0.03441583826650285,1.0090017799305537,1009.0017799305538
2024-04-11,70528.0,Long,1,-0.03513939884683581,1.01740131443223,1017.40131443223,0.0,1.0,0.01979496522506108,1.0289749350763038,1028.9749350763038
2024-04-12,70107.0,Long,1,0.02155920824169466,1.0393356812354484,1039.3356812354484,0.0,1.0,-0.005969260435571666,1.022832715707158,1022.832715707158
2024-04-13,67252.0,Flat,2,-0.008526670632559963,1.0304736082048864,1030.4736082048864,0.0,1.0,-0.04072346555978723,0.9811794228356339,981.1794228356339
2024-04-14,64405.0,Flat,2,-0.04104285714285727,0.9881800271138486,988.1800271138486,1.0304736082048864,2.030473608204886,-0.04233331350740499,0.9396428467217183,939.6428467217182
2024-04-15,65753.0,Flat,2,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,0.02093005201459519,0.9593096203787461,959.3096203787461
2024-04-16,63431.0,Flat,2,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,-0.0353139780694417,0.9254325814828867,925.4325814828867
2024-04-17,63721.0,Flat,2,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,0.0045718970219608135,0.9296635639461938,929.6635639461938
2024-04-18,61329.0,Flat,2,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,-0.037538645030680606,0.8947652534212601,894.7652534212601
2024-04-19,63462.0,Flat,2,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,0.034779631169593594,0.9258848589186195,925.8848589186194
2024-04-20,63989.0,Long,1,0.0,0.9881800271138486,988.1800271138486,0.0,2.030473608204886,0.008304182030191232,0.9335735753260777,933.5735753260776
2024-04-21,64894.0,Long,1,-0.0010000000000000009,0.9871918470867348,987.1918470867348,0.9881800271138487,3.018653635318735,0.014143055837722018,0.9467771585305361,946.7771585305361
2024-04-22,64936.0,Long,1,0.01777854356917974,1.0047426803513053,1004.7426803513054,0.0,3.018653635318735,0.0006472092951581576,0.9473899215079805,947.3899215079805
2024-04-23,66842.0,Long,1,-0.0008772469835015562,1.0038612728657719,1003.8612728657719,0.0,3.018653635318735,0.029351977331526502,0.9751976890081995,975.1976890081995
2024-04-24,66407.0,Long,1,0.029590720744312238,1.0335662514571726,1033.5662514571727,0.0,3.018653635318735,-0.006507884264384645,0.9688512153132387,968.8512153132388
2024-04-25,64280.0,Long,1,-0.0061490125673249185,1.0272108395877997,1027.2108395877997,0.0,3.018653635318735,-0.03202975589922752,0.9378191473840858,937.8191473840858
2024-04-26,64486.0,Flat,2,-0.0328470999111834,0.9934699425100086,993.4699425100087,0.0,3.018653635318735,0.0032047293092718476,0.9408246038925039,940.8246038925039
2024-04-27,63802.0,Flat,2,0.0028756673463350424,0.9963268315832501,996.32683158325,0.9934699425100086,4.012123577828744,-0.010606953447259926,0.9308453211169794,930.8453211169793
2024-04-28,63517.0,Flat,2,0.0,0.9963268315832501,996.32683158325,0.0,4.012123577828744,-0.004466944609886836,0.9266872866271775,926.6872866271775
2024-04-29,63030.0,Flat,2,0.0,0.9963268315832501,996.32683158325,0.0,4.012123577828744,-0.007667238692003697,0.9195821540077617,919.5821540077617
