,Date,Open,High,Low,Close,Volume,dxy,creditSpreads,realGDP,kalman_close,kalman_smooth,close_kalman_diff,close_slope,kalman_smooth_slope,RSI14,log,log_return,log_return_90,log_return_30,log_return_7,ln_volume,lnrange,lncreditSpreads,lnrealGDP,ln_atr,hidden_state,state,unfav,signal,position,open_return,strategy_return,trade,cum_strategy_return,cum_buy_hold_return
780,2024-02-27,0.4061,0.506054,0.39754,0.490149,362955.55450205493,103.83000183105467,3.26,23053.545,0.1138378382123808,0.36254577719366715,0.03341218927176316,0.089748,2.255969338966065,2.3672667277686554,0.8060986643816629,-0.1631481998429942,0.5153084461836864,1.9482473061651968,0.8926161335352131,0.7022387796582904,1.7431349604793005,1.1817271953786161,10.045574832694832,0.44461440026930243,0,Short,1.0,,0,0.20840187146023137,0.0,1,0.0,0.20840187146023137
781,2024-02-28,0.490732,0.49084,0.424354,0.424764,395665.72164519446,103.9800033569336,3.31,23053.545,0.1323099235520504,0.41136267697731144,-0.34253709595588044,0.03340399999999999,2.3647627869502643,1.1069975329999855,0.6530089095210864,0.1632548324153885,0.3631017984226349,1.711656734047273,0.36673524240615124,0.7823650726021962,0.6388612096165343,1.1969481893889715,10.045574832694832,0.5050367167643026,1,Long,0.0,Short,-1,-0.13276289298435806,0.13276289298435806,1,0.13276289298435806,0.04797094311745864
782,2024-02-29,0.425581,0.527701,0.421516,0.501968,446555.10846052266,104.16000366210938,3.29,23053.545,0.1755932538528576,0.462952835140117,-0.17283978768365646,0.12286699999999995,2.485669370064374,1.694271437936611,0.8315754819575082,-0.1497372094329358,0.5914045872840494,2.0306110905139043,1.23562637456769,0.8947164888374287,1.5509113453894285,1.1908875647772805,10.045574832694832,0.610590575438038,1,Long,0.0,Long,1,0.18149776423289588,0.18149776423289588,1,0.3383568254670062,0.2381753262743167
783,2024-03-01,0.502823,0.58016,0.502823,0.541076,1831895.6006717873,103.86000061035156,3.32,23053.545,0.22821759206789763,0.5173844074596223,0.16465753297628227,0.16615400000000002,2.6174910124031245,1.917356860110379,0.911793772538661,-0.08158396228172501,0.5966844076632717,2.10317886089975,1.611924304690223,2.205443633639753,0.6102221350109474,1.199964782928397,10.045574832694832,0.7000376554233827,1,Long,0.0,Long,1,0.07398229595702666,0.07398229595702666,0,0.43737153622481295,0.32977837970943114
784,2024-03-02,0.540023,0.755193,0.540023,0.755193,2492526.9796253517,103.86000061035156,3.32,23053.545,0.3495206491507285,0.5746573354977689,2.8963422004974197,0.362485,2.7581364163067055,2.636957395784955,1.2682942372406427,-0.42474339668285777,0.7458595224516418,2.8401168582636855,2.8664189460587677,2.4913950121285175,2.8268461298226564,1.199964782928397,10.045574832694832,0.9197161734973012,1,Long,0.0,Long,1,0.39619423617142235,0.39619423617142235,0,1.0068498541139466,0.8566289091356809
785,2024-03-03,0.753977,0.922928,0.72887,0.834852,397986.8823700754,103.86000061035156,3.32,23053.545,0.48669800816320385,0.6340895251547911,3.772649493726942,0.44127200000000005,2.9003419767118026,2.789893146893694,1.375519214113819,-0.2779127236038737,0.8504827318334556,2.974295756252034,3.294961328969539,0.7877966247666529,1.6821333952178694,1.199964782928397,10.045574832694832,1.093532011441903,1,Long,0.0,Long,1,0.1087367386538316,0.1087367386538316,0,1.2250681622182147,1.058512681605516
786,2024-03-04,0.835962,0.854947,0.817172,0.827364,870810.200765872,103.83000183105467,3.26,23053.545,0.6082495179177222,0.6948562627196236,3.4466593369417304,0.422777,3.0354432364960524,2.7080373728807516,1.365885625305502,0.04395415115991388,0.9457294309537373,2.926827525183604,3.135051100003837,1.5148771076598453,-0.5180073406965612,1.1817271953786161,10.045574832694832,1.1031009130811025,1,Long,0.0,Long,1,-0.010871307547472231,-0.010871307547472231,0,1.2008787619126515,1.0361339571534107
787,2024-03-05,0.826874,0.939124,0.826757,0.91943,1146205.926064413,103.8000030517578,3.31,23053.545,0.7499213467021711,0.7563078220611049,4.486024386999068,0.42928099999999997,3.1561902871022274,2.869057530119062,1.4787006646451288,-0.4357338813230718,1.2168238065256827,3.1695571584695372,2.757768024088356,1.7700394332800273,0.4300642779079077,1.1969481893889715,10.045574832694832,1.1866201621760688,1,Long,0.0,Long,1,0.11427496813299243,0.11427496813299243,0,1.4523841122947996,1.2688131002216205
788,2024-03-06,0.921365,1.037,0.798874,0.900821,458974.7942935078,103.37000274658205,3.27,23053.545,0.8717126933145111,0.8175931899777281,4.0053278089334325,0.476057,3.255822825621479,2.6725674605870533,1.4568374671087656,0.1969563506866467,1.258304921946476,2.6675882957957926,3.294099273680507,0.920189658991008,1.9683310817166133,1.184789984909162,10.045574832694832,1.3408452941901075,1,Long,0.0,Long,1,-0.02987415410830674,-0.02987415410830674,0,1.3791212113913418,1.2010342280226545
789,2024-03-07,0.89384,0.994191,0.88488,0.929155,299921.63614636817,102.81999969482422,3.27,23053.545,0.9916692960429593,0.8780653456417515,4.1726126164895,0.427187,3.3267967374709504,2.72721330387194,1.4899508837839592,-0.2299567443795148,1.216959167461857,2.6168423372189933,2.6996230153892515,0.5251041989618622,0.3037335171751467,1.184789984909162,10.045574832694832,1.3951323297797136,1,Long,0.0,Long,1,0.03962454130493165,0.03962454130493165,0,1.4733927981015569,1.2882491997045067
