timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,bitcoin_log_return_1,primary_signal,momentum_3,momentum_5,momentum_10,sma_5,sma_10,price_vs_sma5,price_vs_sma10,volatility_5,volume_sma_5,volume_ratio,signal_x_momentum3,signal_x_momentum5,meta_confidence,refined_by_meta,strategy_returns,position_change,transaction_cost,strategy_returns_gross,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-04-11,42249.0,39604.0,42418.0,39444.0,30168665078.21043,752680814425.1921,1,,-0.06526577152437575,1.0,-0.06408923338689854,-0.08321951897034652,-0.14406743030041058,42101.2,43824.0,-0.059314223822598766,-0.09629426798101492,0.030256615773784367,21243512878.79815,1.420135419708288,-0.06408923338689854,-0.08321951897034652,0.5589109759546846,0,-0.001,1,0.001,-0.0,,,,
2022-04-12,39553.0,40206.0,40660.0,39445.0,27804694935.48352,764314681923.3135,0,,0.015086114958820547,1.0,-0.06051967473595665,-0.07604274388142018,-0.12294402512979363,41439.4,43260.4,-0.029763944458655378,-0.07060498747122079,0.0319871283644555,22212424109.034035,1.251763193382169,-0.06051967473595665,-0.07604274388142018,0.765166007835198,1,0.014086114958820548,1,0.001,0.015086114958820547,,,,
2022-04-13,40101.0,41205.0,41444.0,39731.0,25453869985.971855,783560801481.9719,0,,0.0245433699962583,1.0,-0.02531046717918395,-0.02625484450326121,-0.11263055884569828,41217.2,42737.4,-0.00029599293498827617,-0.03585618217299136,0.035363651800864,22462616825.995026,1.1331658365162147,-0.02531046717918395,-0.02625484450326121,0.7651733840023679,1,0.0,0,0.0,0.0,,,,
2022-04-14,41232.0,39959.0,41523.0,39708.0,22744792147.00975,759703443634.6515,1,,-0.030705679773150273,1.0,0.008963741036258854,-0.06629124217216564,-0.14293374514724488,40649.8,42071.0,-0.016993933549488638,-0.05020085094245441,0.035509367281186144,24221668193.090717,0.9390266585146992,0.008963741036258854,-0.06629124217216564,0.6285268408423204,0,-0.001,1,0.001,-0.0,,,,
2022-04-15,39994.0,40587.0,40709.0,39877.0,22053774554.17729,771666602547.5923,1,,0.015593889847136319,1.0,0.00947619758245044,-0.03992903607332943,-0.11061685110112851,40312.2,41566.2,0.006816794915683211,-0.02355760209015978,0.037809142170971755,25645159340.17057,0.8599585700226968,0.00947619758245044,-0.03992903607332943,0.6199284818992233,0,0.015593889847136319,0,0.0,0.015593889847136319,,,,
2022-04-16,40592.0,40450.0,40676.0,40086.0,15777789210.238447,770439827829.2395,1,,-0.0033811747848321604,1.0,-0.01832301905108602,0.021361478638521447,-0.0636357323086183,40481.4,41291.3,-0.0007756648732504257,-0.020374752066416035,0.02192660056632424,22766984166.576176,0.6930118233842123,-0.01832301905108602,0.021361478638521447,0.667734299712331,0,-0.0033811747848321604,0,0.0,-0.0033811747848321604,,,,
2022-04-17,40443.0,39739.0,40593.0,39659.0,16627779441.567648,755627152747.4514,1,,-0.017733570260598193,1.0,-0.005505643284366424,-0.011615181813659614,-0.08677467539928763,40388.0,40913.7,-0.01606912944438943,-0.028711654042533397,0.022784488118007956,20531601067.792995,0.8098627762474355,-0.005505643284366424,-0.011615181813659614,0.6562505619015563,0,-0.017733570260598193,0,0.0,-0.017733570260598193,,,,
2022-04-18,39717.0,40834.0,40950.0,38780.0,30617039399.980103,776463403746.4385,0,,0.027181994470105407,1.0,0.0060856924631038645,-0.009003761679407862,-0.03502221381983173,40313.8,40765.5,0.012903769924938802,0.0016803424464313377,0.02360332890699309,21564234950.594646,1.4198064281031133,0.0060856924631038645,-0.009003761679407862,0.8863528179307404,1,0.026181994470105406,1,0.001,0.027181994470105407,,,,
2022-04-19,40833.0,41498.0,41653.0,40646.0,22717772925.289574,789141783336.2104,1,,0.016130165590251436,1.0,0.02590852904820773,0.03851447733927271,-0.030329937377325034,40621.6,40635.7,0.021574728715757274,0.021220257064600956,0.017981693792107352,21558831106.250614,1.053757173258941,0.02590852904820773,0.03851447733927271,0.6779692491937057,0,-0.001,1,0.001,0.0,,,,
2022-04-20,41468.0,41397.0,42142.0,40959.0,24937668255.073463,787437397453.9304,0,,-0.0024368188667323347,1.0,0.04172223760034233,0.019957129130016904,-0.02076877587226489,40783.6,40547.9,0.015040359360134925,0.020940665237903833,0.01779390735583412,22135609846.429848,1.1265860045457725,0.04172223760034233,0.019957129130016904,0.8735199393767168,1,-0.0034368188667323347,1,0.001,-0.0024368188667323347,,,,
