,precision,recall,f1-score,support
0.0,0.5636942675159236,0.4903047091412742,0.5244444444444444,361.0
1.0,0.5170603674540682,0.5898203592814372,0.551048951048951,334.0
accuracy,0.5381294964028777,0.5381294964028777,0.5381294964028777,0.5381294964028777
macro avg,0.540377317484996,0.5400625342113556,0.5377466977466977,695.0
weighted avg,0.5412831558315211,0.5381294964028777,0.5372299195608548,695.0
