Data,BTC,ETH,SOL,MKR,LINK,RUNE,STX,IMX,UNI,PENDLE,AAVE,VISTA,MORPHO,ENA,VIRTUAL,ONDO,YNE,USDT,TAO,CRV,RENDER,SUI,FET,ETHFI,HYPE,SEI,LQTY,AERO,SYRUP,PAXG,ZEC
2025-05-18,60.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-19,60.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-20,60.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,10.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-21,60.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,10.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-22,60.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,10.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-23,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-24,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-25,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-26,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-27,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-28,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-29,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-30,60.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,0.00%,4.00%,0.00%,2.00%,0.00%,5.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-05-31,65.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-01,65.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-02,65.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-03,75.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-04,75.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-05,75.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-06,75.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-07,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-08,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-09,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-10,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-11,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-12,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-13,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-14,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-15,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-16,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-17,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-18,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-19,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-20,65.00%,10.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-21,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-22,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-23,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-24,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-25,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-26,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-27,70.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,6.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025-06-28,70.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%
2025-06-29,70.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%
2025-06-30,70.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%
2025-07-01,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-02,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-03,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-04,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-05,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-06,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-07,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-08,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,6.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-09,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-10,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-11,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-12,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-13,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-14,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-15,65.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-16,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-17,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-18,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-19,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-20,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-21,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,5.00%,5.00%,5.00%,5.00%,3.00%,0.00%,0.00%
2025-07-22,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-23,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-24,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-25,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-26,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-27,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-28,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-29,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-30,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,5.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-07-31,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-01,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-02,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-03,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-04,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-05,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-06,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-07,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-08,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-09,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
2025-08-10,60.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,5.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,5.00%,0.00%,5.00%,5.00%,0.00%,0.00%,0.00%
