horizon,ic_detrended,ic_raw,spearman_ic,p_value,n_observations,significant
10,-0.03533308508754297,0.05433291242960691,-0.05995677667901579,0.13282345659994488,1811,False
30,-0.020022676207064587,0.10979953747818536,-0.08486151297419073,0.3970747666861669,1791,False
90,-0.1313556252567672,0.08269036345324285,-0.14161144697986622,4.136523856779206e-08,1731,True
120,-0.1643610213787614,0.08883675131511351,-0.13852666433319147,9.090062036420932e-12,1701,True
