timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ma,std,banda_superior,banda_inferior,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility,barrier_signal
2021-12-01,56917.0,57169.0,59129.0,56671.0,49383073891.00049,1079838995016.5873,0.002767561759480252,59112.85,3325.681667758229,65764.21333551646,52461.48666448354,0,0.0,0,0.0,0.0,,,,,,
2021-12-02,57159.0,56508.0,57436.0,55822.0,36296342256.75686,1067406204922.5636,-0.011629572382034117,58716.65,3124.5665851021395,64965.78317020428,52467.51682979572,0,-0.0,0,0.0,-0.0,,,,,,
2021-12-03,56565.0,53786.0,57565.0,52962.0,39527112725.92275,1016040747069.7008,-0.04936901079389857,58172.95,2978.61780864884,64130.18561729768,52215.71438270232,0,-0.0,0,0.0,-0.0,,,,,,
2021-12-04,53784.0,49162.0,54011.0,43531.0,55941408415.03649,930097457941.656,-0.0898922429027295,57348.6,3080.378947979929,63509.35789595985,51187.842104040144,1,-0.001,1,0.001,-0.0,,,,,,
2021-12-05,49349.0,49268.0,49877.0,47745.0,32826574574.44167,932015145132.0604,0.00215381572644818,56615.3,3174.404048503901,62964.108097007804,50266.4919029922,1,0.00215381572644818,0,0.0,0.00215381572644818,,,,,,
2021-12-06,49370.0,50462.0,50979.0,47243.0,36126018721.826546,953396710269.5476,0.02394579470295028,56115.95,3321.689621975076,62759.32924395015,49472.57075604984,1,0.02394579470295028,0,0.0,0.02394579470295028,,,,,,
2021-12-07,50555.0,50648.0,51943.0,50239.0,30083305919.5604,956961313925.818,0.003679165459637194,55618.15,3359.500311763186,62337.15062352637,48899.14937647363,1,0.003679165459637194,0,0.0,0.003679165459637194,,,,,,
2021-12-08,50619.0,50530.0,51320.0,48934.0,26590164539.05959,954800139986.473,-0.002332523938008218,55295.3,3527.109165188683,62349.51833037737,48241.08166962264,1,-0.002332523938008218,0,0.0,-0.002332523938008218,,,,,,
2021-12-09,50480.0,47886.0,50826.0,47441.0,27269362515.246876,904878061656.8508,-0.05374403318189038,54766.65,3809.0528906388718,62384.755781277745,47148.54421872226,1,-0.05374403318189038,0,0.0,-0.05374403318189038,,,,,,
2021-12-10,47747.0,47304.0,50088.0,47304.0,29611257204.740986,893919955029.865,-0.012228327603398072,54127.7,3939.885252136178,62007.47050427235,46247.92949572764,1,-0.012228327603398072,0,0.0,-0.012228327603398072,,,,,,
2021-12-11,47300.0,49242.0,49490.0,47033.0,24619129766.774235,930603779263.9766,0.04015205935710084,53632.8,3898.580127498535,61429.96025499707,45835.63974500293,1,0.04015205935710084,0,0.0,0.04015205935710084,0.0,time,5.0,-0.0319,0.0388,1.0
2021-12-12,49252.0,50051.0,50863.0,48760.0,19871029748.355583,945932497231.4797,0.016295567705982096,53316.0,3920.365463629794,61156.73092725959,45475.26907274041,1,0.016295567705982096,0,0.0,0.016295567705982096,0.0,lower,5.0,-0.0773,0.0371,1.0
2021-12-13,50057.0,46696.0,50222.0,46002.0,29628245402.124134,882570058436.5184,-0.06938397768012176,52763.35,4039.8053141600785,60842.96062832016,44683.73937167984,1,-0.06938397768012176,0,0.0,-0.06938397768012176,1.0,time,5.0,0.0059,0.0411,1.0
2021-12-14,46679.0,48411.0,48691.0,46526.0,30152105689.95273,915015634616.989,0.03606855272583496,52324.0,4009.835106204196,60343.67021240839,44304.32978759161,1,0.03606855272583496,0,0.0,0.03606855272583496,0.0,time,5.0,-0.0337,0.0423,1.0
