date,btc_dominance
2013-04-29,0.9038279403556828
2013-04-30,0.815532428454823
2013-05-01,0.833149684802465
2013-05-02,0.8282247662213894
2013-05-03,1.149854924861522
2013-05-04,0.9863368015961524
2013-05-05,0.9521545116525206
2013-05-06,0.8492938047361107
2013-05-07,0.9992167985862666
2013-05-08,0.945261482213793
2013-05-09,0.991068888689688
2013-05-10,0.902605132394305
2013-05-11,0.9599828472116768
2013-05-12,0.9677069736351102
2013-05-13,0.9270495193087516
2013-05-14,0.9466421230718923
2013-05-15,0.9629927531296175
2013-05-16,1.0157331280410677
2013-05-17,0.9583066004864049
2013-05-18,0.9249333199302076
2013-05-19,0.9663068176446943
2013-05-20,0.9535302745013882
2013-05-21,0.9530233515218428
2013-05-22,0.973249346242852
2013-05-23,0.9974020198400154
2013-05-24,0.947708837707908
2013-05-25,0.9831171599681203
2013-05-26,0.9145483526299168
2013-05-27,0.9557905982767491
2013-05-28,0.9767741454012282
2013-05-29,0.9562746502421338
2013-05-30,0.959571229204511
2013-05-31,0.965530876805719
2013-06-01,0.9003630400750111
2013-06-02,0.9554549764068594
2013-06-05,0.958217796479443
2013-06-06,0.9358368564164655
2013-06-07,0.8856817659238646
2013-06-08,0.9422074123328634
2013-06-09,0.8804523895214494
2013-06-10,1.0160431526924163
2013-06-11,0.9827322499620796
2013-06-12,0.9545669973513169
2013-06-13,0.9097055226768839
2013-06-14,0.9181571169205247
2013-06-15,0.9756500065755832
2013-06-16,0.9655379822346747
2013-06-17,0.9754906347662642
2013-06-18,1.0013042999178214
2013-06-19,0.972292492458976
2013-06-20,0.9863432246929068
2013-06-21,0.9438169088631779
2013-06-22,0.9373636638676834
2013-06-23,0.9549700092639073
2013-06-24,0.9006402768242611
2013-06-25,0.9603515942171504
2013-06-26,0.9482450928480117
2013-06-27,0.9148912536720925
2013-06-28,0.8862016900554178
2013-06-29,0.96567445579822
2013-06-30,0.9675528854446341
2013-07-01,0.8660871913979822
2013-07-02,0.9538916069471067
2013-07-03,0.818632821234192
2013-07-04,0.9391012457144212
2013-07-05,0.8101410501472815
2013-07-06,0.9373821557595163
2013-07-07,1.0642433927973858
2013-07-08,0.923346728544141
2013-07-09,0.944508323644448
2013-07-10,1.0444914144659507
2013-07-11,1.0279851685717543
2013-07-12,0.8854998119866838
2013-07-13,1.0226991724162142
2013-07-14,0.9288072231798606
2013-07-15,0.9754870898491835
2013-07-16,0.9587984893263397
2013-07-17,0.9294320158303533
2013-07-18,0.8537294776528447
2013-07-19,0.9682347752971725
2013-07-20,0.9150989846037937
2013-07-21,0.950086272683052
2013-07-22,0.9526473937989
2013-07-23,0.9711623392016078
2013-07-24,0.9404704886662011
2013-07-25,0.963658708651219
2013-07-26,0.9139606017033355
2013-07-27,0.9389966653799534
2013-07-28,0.9874951468988781
2013-07-29,0.9692288898589781
2013-07-30,1.0246354937793207
2013-07-31,0.9111902208904021
2013-08-01,0.9039926420994505
2013-08-02,0.9621941660854316
2013-08-03,0.953945293480254
2013-08-04,0.9244407869762448
2013-08-05,0.9074885013359042
2013-08-06,0.9263932805759493
2013-08-07,0.8779045257527898
2013-08-08,0.9350325598355411
2013-08-09,0.9147790210864214
2013-08-10,0.9308630871944622
2013-08-11,0.9361155932388993
2013-08-12,0.9329651506736297
2013-08-13,0.9712417231401793
2013-08-14,0.9290791023544981
2013-08-15,0.915768406341596
2013-08-16,0.9602004613517813
2013-08-17,0.9336805493443019
2013-08-18,0.951501176644735
2013-08-19,0.9352856272921085
2013-08-20,0.929776123548101
2013-08-21,0.9284787869442241
2013-08-22,0.9063398210503225
2013-08-23,0.9293854061412474
2013-08-24,0.936615921107694
2013-08-25,0.9238817211305766
2013-08-26,0.9502711907762409
2013-08-27,0.9063579450117497
2013-08-28,0.927631923989267
2013-08-29,0.9707037694277733
2013-08-30,0.9908833661642897
2013-08-31,0.935734931952737
2013-09-01,0.9273716837185895
2013-09-02,0.9365901936726051
2013-09-03,0.9196937458334313
2013-09-04,0.8963859674481326
2013-09-05,0.9002538470783844
2013-09-06,0.9109333431122012
2013-09-07,0.9090438639278957
2013-09-08,0.95823030635698
2013-09-09,0.9361696980069766
2013-09-10,0.9563521446077788
2013-09-11,0.9469553863921301
2013-09-12,0.9338014312487127
2013-09-13,0.9032631423039589
2013-09-14,0.9178902206310715
2013-09-15,0.937227644237484
2013-09-16,0.9234612084043647
2013-09-17,0.9190551153646421
2013-09-18,0.8972487808267605
2013-09-19,0.8960207196470906
2013-09-20,0.8978247987150978
2013-09-21,0.9231802248036527
2013-09-22,0.8979942334275389
2013-09-23,0.9064306633124194
2013-09-24,0.9232884316948095
2013-09-25,0.9098452601868808
2013-09-26,0.9326914910707024
2013-09-27,0.9734315294293477
2013-09-28,0.941469519345562
2013-09-29,0.8474394805754502
2013-09-30,0.9181136481223466
2013-10-01,0.9030357332094173
2013-10-02,0.8543717085167445
2013-10-03,0.9595813173355938
2013-10-04,0.9247130788868674
2013-10-05,0.9018404395765992
2013-10-06,0.9159937638510282
2013-10-07,0.8967129389655111
2013-10-08,0.9516741403588378
2013-10-09,0.9105183895988089
2013-10-10,0.9192006375838563
2013-10-11,0.9546946156556488
2013-10-12,0.922453720765246
2013-10-13,0.9554517214737706
2013-10-14,0.948028759654422
2013-10-15,0.9291664327618833
2013-10-16,0.9520157765757007
2013-10-17,0.9685613197721006
2013-10-18,1.055819951538524
2013-10-19,0.9535866200773347
2013-10-20,0.9970957031373565
2013-10-21,1.0146533570542025
2013-10-22,1.0214144993402032
2013-10-23,0.9182999105500562
2013-10-24,0.8209238188039515
2013-10-25,0.9756387431415884
2013-10-26,1.0061732051006922
2013-10-27,0.9932121655135239
2013-10-28,0.9812785075322477
2013-10-29,0.954183809042835
2013-10-30,0.9537360296040774
2013-10-31,0.9608601288660892
2013-11-01,0.9608763155473926
2013-11-02,0.9770755537187428
2013-11-03,1.0080985101038917
2013-11-04,0.9665068917711424
2013-11-05,1.074441763981037
2013-11-06,1.0798169702972336
2013-11-07,1.0643719072886193
2013-11-08,1.0230927978493711
2013-11-09,0.8363264689831107
2013-11-10,1.0560472385428217
2013-11-11,0.9990691040172327
2013-11-12,1.088450709356975
2013-11-13,0.9701291324384826
2013-11-14,0.9959104878970719
2013-11-15,0.9916643060186356
2013-11-16,1.0738744661382424
2013-11-17,1.1481172541581777
2013-11-18,1.0217800745015604
2013-11-19,0.8858794248121837
2013-11-20,1.1505779552984126
2013-11-21,1.0493188892097929
2013-11-22,1.0766012399874167
2013-11-23,0.8979984768630579
2013-11-24,1.0013049563303882
2013-11-25,1.0021349200129317
2013-11-26,1.0277095551487354
2013-11-27,0.9815153121300999
2013-11-28,1.005074212824297
2013-11-29,0.9252962585381962
2013-11-30,0.8190505542018491
2013-12-01,0.8369359774324577
