iter	Logloss
127	0.08414325866
128	0.08396505142
129	0.08323269626
130	0.08281815166
131	0.08246920151
132	0.08212785061
133	0.0818098777
134	0.08116390754
135	0.08084600038
136	0.08048933527
137	0.08018140248
138	0.07982706132
139	0.0796898196
140	0.07939742659
141	0.07912570695
142	0.07890020286
143	0.07842638908
144	0.07789552472
145	0.07764719988
146	0.07726630787
147	0.07691285563
148	0.07681293549
149	0.07666135495
150	0.07645252929
151	0.07613355705
152	0.07598327886
153	0.07567599042
154	0.07546029392
155	0.0753480034
156	0.07524648506
157	0.07506770451
158	0.07493252374
159	0.07468584292
160	0.07442479102
161	0.07431065279
162	0.0741128894
163	0.07394475221
164	0.07375726332
165	0.07342148339
166	0.07319994824
167	0.07301631116
168	0.07297876761
169	0.07291525509
170	0.07283364278
171	0.07268677817
172	0.07234937439
173	0.07201051304
174	0.07186068408
175	0.07180020811
176	0.07148382191
177	0.07129725616
178	0.07106696395
179	0.07103836919
180	0.07072776585
181	0.0706291807
182	0.07036079376
183	0.07028590039
184	0.0702332177
185	0.0700317033
186	0.06991452247
187	0.06975159336
188	0.06968370922
189	0.06953397833
190	0.06936587591
191	0.06926138999
192	0.0691690149
193	0.06910250392
194	0.06901361206
195	0.06890483186
196	0.06877920532
197	0.06873907747
198	0.06851645572
199	0.06840232507
200	0.06829619307
201	0.06824694379
202	0.06805387992
203	0.06782435908
204	0.06776667754
205	0.06770719478
206	0.06750434184
207	0.06734765766
208	0.06721965294
209	0.06693648976
210	0.06667445733
211	0.06657350295
212	0.06650130919
213	0.06639684825
214	0.06626123619
215	0.06621165576
216	0.06617178236
217	0.06609869917
218	0.06600337378
219	0.06593945713
220	0.06576138103
221	0.06576106893
222	0.06575321203
223	0.06551424153
224	0.06543952247
225	0.06538510982
226	0.06529957415
227	0.06525229397
228	0.06514337507
229	0.06501354827
230	0.0648034167
231	0.06471630157
232	0.06466273422
233	0.06465055508
234	0.06465019189
235	0.06461115339
236	0.06458184705
237	0.06451729253
238	0.06448270269
239	0.06440545208
240	0.06437107397
241	0.06431941097
242	0.0642625765
243	0.06423820929
244	0.06417107329
245	0.06413145133
246	0.06408906909
247	0.06408874535
248	0.0638839503
249	0.06384508128
250	0.06374885944
251	0.06367395068
252	0.06358683324
253	0.0635276023
254	0.06347675767
255	0.06347677012
256	0.0634726384
257	0.06342896453
258	0.06340117461
259	0.06335533875
260	0.06326456467
261	0.06316282617
262	0.06310072782
263	0.062865271
264	0.06276305413
265	0.06259442439
266	0.06249449471
267	0.06242812156
268	0.06241092602
269	0.06228570044
270	0.06226788506
271	0.06214753787
272	0.06209623702
273	0.06209635228
274	0.06208260836
275	0.06202636805
276	0.06195642928
277	0.06192177468
278	0.06190598387
279	0.06184662119
280	0.06179301666
281	0.06173530405
282	0.06173514303
283	0.06173475938
284	0.06173455702
285	0.06173456247
286	0.06173468378
287	0.06173435627
288	0.06173217313
289	0.06173093011
290	0.06167299318
291	0.06162327234
292	0.06159204707
293	0.06159169432
294	0.06146649996
295	0.06144299378
296	0.06133376094
297	0.0612789363
298	0.06121638614
299	0.06117844828
300	0.06113424424
301	0.06106785563
302	0.06102846324
303	0.06098643611
304	0.06094752925
305	0.06088028104
306	0.06082669014
307	0.06080625239
308	0.06078844398
309	0.06076089542
310	0.0607276511
311	0.06070250897
312	0.06068638253
313	0.06063815176
314	0.06057771193
315	0.06055294317
316	0.06051927902
317	0.06041726493
318	0.06038241679
319	0.06034080771
320	0.0602409187
321	0.06018084353
322	0.06014576711
323	0.06013030023
324	0.06008596415
325	0.06006266946
326	0.05999033789
327	0.05996910073
328	0.05994515429
329	0.05991763996
330	0.05990517403
331	0.0598430105
332	0.05979219725
333	0.05972256846
334	0.0596784156
335	0.05963276173
336	0.05958176414
337	0.05954729523
338	0.05952827338
339	0.05947760031
340	0.05947762492
341	0.05944268233
342	0.05940137114
343	0.05934512101
344	0.05924632236
345	0.05922832281
346	0.05919727936
347	0.05916499723
348	0.05914847801
349	0.05911123496
350	0.05904315664
351	0.05901828991
352	0.05890712352
353	0.05887263904
354	0.05882892055
355	0.05880741844
356	0.05878677262
357	0.05878602887
358	0.0587699657
359	0.05874202452
360	0.05866195942
361	0.05864445985
362	0.05863005909
363	0.05859293049
364	0.05853050653
365	0.05851471079
366	0.05848702998
367	0.05846042994
368	0.05841388094
369	0.05841288857
370	0.05841305627
371	0.05840016036
