iter	Logloss
0	0.494275566
1	0.3956228647
2	0.3592908854
3	0.3185843235
4	0.3043955464
5	0.2869347018
6	0.2779087001
7	0.2683857282
8	0.2676351019
9	0.2572097845
10	0.2545393586
11	0.2504191602
12	0.244809595
13	0.2439775762
14	0.2390145321
15	0.2309584508
16	0.2270172532
17	0.2243042038
18	0.2221303327
19	0.215740305
20	0.2144615062
21	0.2064174109
22	0.205980471
23	0.2033029958
24	0.2016081605
25	0.1993967519
26	0.1966409698
27	0.1941900649
28	0.1895422226
29	0.1865201673
30	0.1859381387
31	0.1815978036
32	0.1810770005
33	0.1802430713
34	0.1798124792
35	0.1784792178
36	0.1727018494
37	0.1692379297
38	0.167423144
39	0.1621030811
40	0.1614032233
41	0.1603389505
42	0.1595067468
43	0.1565965745
44	0.1539734888
45	0.1502062465
46	0.1475538178
47	0.1459748887
48	0.1431360473
49	0.1402126284
50	0.1389760608
51	0.137977676
52	0.1378090543
53	0.1373202082
54	0.1351391917
55	0.1336018057
56	0.1316322122
57	0.1290500595
58	0.1280605969
59	0.1278470933
60	0.1255221253
61	0.1249392677
62	0.1241057006
63	0.1236162228
64	0.122791007
65	0.1213110925
66	0.1212110146
67	0.1201810817
68	0.1191051807
69	0.1187643916
70	0.1169219168
71	0.116051571
72	0.1148583224
73	0.1140702374
74	0.113609864
75	0.1121657888
76	0.1115146901
77	0.1107127033
78	0.1106420953
79	0.1097893022
80	0.108543316
81	0.1080136517
82	0.1071722264
83	0.1065027058
84	0.1059438508
85	0.1055234837
86	0.1054612316
87	0.1034022077
88	0.102366144
89	0.1017792596
90	0.1012967084
91	0.1001861848
92	0.09977240335
93	0.0990413434
94	0.09830758344
95	0.09753748603
96	0.09679297279
97	0.09643308851
98	0.09549773473
99	0.09481615297
100	0.0946598455
101	0.09456327057
102	0.09407656767
103	0.09399471401
104	0.0933616588
105	0.09211730383
106	0.09150351188
107	0.09110450033
108	0.09085372629
109	0.09021075308
110	0.08936125879
111	0.08885361012
112	0.08842563743
113	0.08818323859
114	0.0879730006
115	0.08754880962
116	0.08722601028
117	0.08708260982
118	0.08664518353
119	0.08641433623
120	0.08597515372
121	0.08581481181
122	0.08554096383
123	0.08539902166
124	0.08496448892
125	0.08483089413
126	0.0844276272
