,precision,recall,f1-score,support
0.0,0.5831381733021077,0.6897506925207756,0.6319796954314721,361.0
1.0,0.582089552238806,0.46706586826347307,0.5182724252491694,334.0
accuracy,0.5827338129496403,0.5827338129496403,0.5827338129496403,0.5827338129496403
macro avg,0.5826138627704569,0.5784082803921243,0.5751260603403208,695.0
weighted avg,0.5826342316688088,0.5827338129496403,0.5773347627107683,695.0
