timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,bitcoin_log_return_1,primary_signal,momentum_3,momentum_5,momentum_10,sma_5,sma_10,price_vs_sma5,price_vs_sma10,volatility_5,volume_sma_5,volume_ratio,signal_x_momentum3,signal_x_momentum5,meta_confidence,refined_by_meta,strategy_returns,position_change,transaction_cost,strategy_returns_gross,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-30,38254.0,37983.0,38386.0,37504.0,11807185113.633108,719570142321.8397,1,,-0.006534170069631306,1.0,0.018939292325026225,0.026872854091757103,-0.06694015918247032,37643.0,36997.3,0.009032223786626936,0.02664248472185804,0.00962123334183564,18802844571.266716,0.6279467486358995,0.018939292325026225,0.026872854091757103,0.6197158215166915,0,-0.006534170069631306,0,0.0,-0.006534170069631306,,,,
2022-01-31,37995.0,38556.0,38715.0,36832.0,17731563487.283978,727905398095.9747,1,,0.014973038715495796,1.0,0.018571843711198577,0.04572823433685924,0.056068366704100425,37980.2,37202.0,0.0151605310135281,0.03639589269394117,0.009006832464605204,16997782518.774563,1.0431692173787335,0.018571843711198577,0.04572823433685924,0.7090201629646062,1,0.014973038715495796,0,0.0,0.014973038715495796,,,,
2022-02-01,38430.0,38836.0,39138.0,38196.0,17109120250.158987,736102274236.6057,1,,0.00723592158617684,1.0,0.01579828415986606,0.041822035035008254,0.10392268334280841,38292.0,37567.6,0.014206622793272672,0.03376313631959449,0.008952899854986257,16008124477.350195,1.0687773120684179,0.01579828415986606,0.041822035035008254,0.8187891513764617,1,0.00723592158617684,0,0.0,0.00723592158617684,,,,
2022-02-02,38801.0,37001.0,38900.0,36849.0,16709908527.231106,700645616423.8325,1,,-0.048402712201870486,1.0,-0.02585367137930128,-0.02250812353049958,0.019142841403624766,38121.6,37637.1,-0.029395408377402843,-0.016900877060134767,0.025317628740647368,15507285521.98583,1.077552128871312,-0.02585367137930128,-0.02250812353049958,0.842462976795405,1,-0.048402712201870486,0,0.0,-0.048402712201870486,,,,
2022-02-03,37052.0,37101.0,37180.0,36415.0,16136299994.837618,703003347951.7092,1,,0.0026989841220017353,1.0,-0.037737317149081906,-0.029582548650345264,0.008892152063958214,37895.4,37669.8,-0.02096296648141993,-0.015099628880429483,0.02448325524216081,15898815474.628962,1.0149372461481567,-0.037737317149081906,-0.029582548650345264,0.5722661062774004,0,0.0026989841220017353,0,0.0,0.0026989841220017353,,,,
2022-02-04,37282.0,41674.0,41674.0,37128.0,25347215343.882504,777355085535.6107,1,,0.11623350971997881,1.0,0.07307652693377276,0.0971750519969461,0.1266592770823758,38633.6,38138.3,0.07869833512797153,0.09270733095077643,0.06259029243217855,18606821520.67884,1.3622539086384353,0.07307652693377276,0.0971750519969461,0.6086753101387843,0,0.11623350971997881,0,0.0,0.11623350971997881,,,,
2022-02-05,41617.0,41494.0,41957.0,41191.0,16752051696.248552,786295053042.2418,1,,-0.004328594677060671,1.0,0.12142915056349834,0.07620085071065463,0.1254136154054788,39221.2,38600.7,0.05794825247570201,0.07495459926892534,0.06358136670481816,18410919162.47176,0.909897629141483,0.12142915056349834,0.07620085071065463,0.6595934293700766,0,-0.004328594677060671,0,0.0,-0.004328594677060671,,,,
2022-02-06,41518.0,42476.0,42526.0,41387.0,13206494654.908047,804942041477.0581,0,,0.02339037207065127,1.0,0.1448748012182961,0.09372746935832743,0.13946937790058223,39949.2,39120.6,0.06325032791645402,0.08577066813903667,0.06341945890950156,17630394043.421566,0.7490754104747755,0.1448748012182961,0.09372746935832743,0.8059698698711711,1,0.022390372070651268,1,0.001,0.02339037207065127,,,,
2022-02-07,42413.0,43911.0,44476.0,41788.0,24171856714.475758,833392518214.8341,0,,0.033225647628320386,-1.0,0.05367855257474674,0.18675170941325914,0.16004015533775395,41331.2,39726.4,0.06241773768968728,0.1053354947843248,0.05124746347833284,19122783680.870495,1.2640344166344417,-0.05367855257474674,-0.18675170941325914,0.8159531649372372,1,0.0,0,0.0,0.0,,,,
2022-02-08,43978.0,44184.0,45302.0,42901.0,29024977264.932137,837406846076.2306,0,,0.006197874428966801,-1.0,0.06482864992529036,0.1909112961914774,0.15568110483364728,42747.8,40321.6,0.033597050608452195,0.0957898496091425,0.050700892665657346,21700519134.8894,1.3375245580308126,-0.06482864992529036,-0.1909112961914774,0.764349215907161,1,0.0,0,0.0,0.0,,,,
