,precision,recall,f1-score,support
0.0,0.5294117647058824,0.8725761772853186,0.6589958158995816,361.0
1.0,0.54,0.16167664670658682,0.2488479262672811,334.0
accuracy,0.5309352517985612,0.5309352517985612,0.5309352517985612,0.5309352517985612
macro avg,0.5347058823529411,0.5171264119959527,0.45392187108343135,695.0
weighted avg,0.5345002115954296,0.5309352517985612,0.4618887725367206,695.0
