timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,atr,ema_signal,long_atr,short_atr,long_trail_stop,short_trail_stop,long_stop,short_stop,signal,long_trailing_stop,short_trailing_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2020-01-01,7193.96,7193.75,7239.84,7174.58,18123516838.8979,130422953817.668,-0.00019459444494260061,7241.643941200089,7243.891084387167,188.52857142857152,-1,0.0,7759.335714285715,0.0,7759.335714285715,0,0,-1,0.0,7759.335714285715,0.00019459444494260061,0,0.0,0.00019459444494260061
2020-01-02,7194.41,6963.85,7203.05,6953.31,20313194628.09452,126280790200.20206,-0.032480111159292016,7201.959092457219,7208.885948838772,185.92285714285723,-1,0.0,7521.618571428572,0.0,7521.618571428572,0,0,-1,0.0,7521.618571428572,0.032480111159292016,0,0.0,0.032480111159292016
2020-01-03,6963.31,7300.35,7371.04,6891.25,31015776262.21867,132766262579.09486,0.047189809881726635,7216.014936391903,7220.318955233925,212.15928571428574,-1,0.0,7936.827857142857,0.0,7521.618571428572,0,0,-1,0.0,7521.618571428572,-0.047189809881726635,0,0.0,-0.047189809881726635
2020-01-04,7319.41,7351.38,7376.23,7269.76,20611640058.34164,133474716218.18333,0.006965758492512528,7235.352802621631,7236.7015858296845,215.1242857142857,-1,0.0,7996.7528571428575,0.0,7521.618571428572,0,0,-1,0.0,7521.618571428572,-0.006965758492512528,0,0.0,-0.006965758492512528
2020-01-05,7348.62,7349.97,7473.64,7330.32,21929224570.56102,133388991086.87987,-0.0001918191192405128,7251.726687961398,7250.860137600974,199.7064285714286,1,6750.850714285714,0.0,6750.850714285714,0.0,0,0,1,6750.850714285714,0.0,-0.0008081808807594872,1,0.001,0.0001918191192405128
2020-01-06,7350.06,7734.68,7752.96,7349.44,28148518761.51164,140557168287.4443,0.05101788119117712,7320.720018252628,7311.337620400852,201.8185714285715,1,7129.2242857142855,0.0,7129.2242857142855,0.0,0,0,1,7129.2242857142855,0.0,0.05101788119117712,0,0.0,0.05101788119117712
2020-01-07,7734.45,8147.42,8147.42,7734.45,34823187724.289955,147798610895.50055,0.051987199943561734,7438.820015645109,7415.847917850745,215.7107142857144,1,7500.287857142857,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,0.051987199943561734,0,0.0,0.051987199943561734
2020-01-08,8138.67,8045.79,8388.78,7899.66,39971512000.06816,146089575425.2795,-0.012552339456942431,7525.530013410094,7494.590678119402,241.3885714285716,1,7321.624285714285,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,-0.012552339456942431,0,0.0,-0.012552339456942431
2020-01-09,8027.56,7832.8,8038.98,7778.17,29276053440.88472,141913856953.47913,-0.026828928203834104,7569.425725780081,7536.866843354476,244.30000000000018,1,7099.9,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,-0.026828928203834104,0,0.0,-0.026828928203834104
2020-01-10,7826.99,8180.51,8180.51,7688.29,35777298156.26295,146879934259.3087,0.043434450801690144,7656.7234792400695,7617.322237935166,267.31928571428585,1,7378.552142857143,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,0.043434450801690144,0,0.0,0.043434450801690144
2020-01-11,8151.94,8012.09,8217.85,8002.02,31504583511.03613,145561586658.57422,-0.020802844968659494,7707.490125062917,7666.66820819327,275.3407142857144,1,7186.067857142857,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,-0.020802844968659494,0,0.0,-0.020802844968659494
2020-01-12,7983.41,8171.4,8171.4,7972.94,27533390875.51989,148204228775.38776,0.019688601930074504,7773.762964339644,7729.759682169111,274.2964285714287,1,7348.510714285713,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,0.019688601930074504,0,0.0,0.019688601930074504
2020-01-13,8160.01,8110.65,8164.32,8054.45,27962176780.628242,147446058196.45944,-0.007462239939709934,7821.889683719695,7777.370971897973,271.18571428571437,1,7297.092857142857,0.0,7500.287857142857,0.0,0,0,1,7500.287857142857,0.0,-0.007462239939709934,0,0.0,-0.007462239939709934
2020-01-14,8099.45,8801.87,8832.87,8099.13,55384169405.51928,159481192213.82108,0.08178618602811422,7961.88687175974,7905.433350410726,312.5007142857144,1,7864.367857142857,0.0,7864.367857142857,0.0,0,0,1,7864.367857142857,0.0,0.08178618602811422,0,0.0,0.08178618602811422
2020-01-15,8795.71,8820.85,8859.04,8570.39,48160401007.254,159960761751.8495,0.0021540383480806754,8084.595890079778,8019.860431609385,328.4571428571431,1,7835.478571428571,0.0,7864.367857142857,0.0,0,0,1,7864.367857142857,0.0,0.0021540383480806754,0,0.0,0.0021540383480806754
