bitcoin_close_topo_avg_hole_lifetime_1_x,bitcoin_close_topo_num_relevant_holes_1_x,bitcoin_close_topo_l1_norm_1_x,bitcoin_close_topo_l2_norm_1_x,signal
0.8909848555776682,0.002705735318441384,-1.3612115063233012,0.0,0.0
0.6825520740066017,0.002705735318441384,-1.0632710303429245,0.0,0.0
1.4717524358961314,-0.00036896390706018866,-1.0012848337580456,0.0,-0.0
2.022094164454025,-0.00036896390706018866,-1.3946228569866417,0.0,-0.0
0.2179034160989286,0.002705735318441384,-0.3990873963810365,0.0,0.0
-0.16136498210043795,-0.00036896390706018866,0.1659302683535244,-0.0,0.0
-0.16582639640075802,-0.00036896390706018866,0.1691189124098093,-0.0,0.0
-0.1685306488757411,-0.00036896390706018866,0.17105168484487096,-0.0,0.0
-0.1703514268854144,-0.00036896390706018866,0.17235302396909052,-0.0,0.0
-0.1716971538617597,-0.00036896390706018866,0.1733148365324738,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.040579398498739566,0.002705735318441384,-0.02960380443598145,-0.0,0.0
-0.05395432482832511,0.002705735318441384,-0.010485257502995775,-0.0,0.0
-0.07692230825683967,0.002705735318441384,0.022345911679803047,-0.0,0.0
-0.0896572143650179,0.002705735318441384,0.04054959326403772,-0.0,0.0
-0.04795144144600952,-0.00036896390706018866,0.08487179945409377,-0.0,0.0
-0.048265569882865504,-0.00036896390706018866,0.08509631206504296,-0.0,0.0
-0.04645250862928031,-0.00036896390706018866,0.08380048822964842,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.19337672134390063,-0.00036896390706018866,0.18880956966895848,-0.0,0.0
-0.1707440403780936,-0.00036896390706018866,0.17263363110296706,-0.0,0.0
-0.0423266791120125,-0.00036896390706018866,0.08085169197763098,-0.0,0.0
-0.04046599982695663,-0.00036896390706018866,0.07952183477460902,-0.0,0.0
-0.0344627400175148,-0.00036896390706018866,0.07523120910724218,-0.0,0.0
-0.03728255562025676,-0.00036896390706018866,0.07724657635543913,-0.0,0.0
-0.040271763429811404,-0.00036896390706018866,0.0793830109193067,-0.0,0.0
