,precision,recall,f1-score,support
0.0,0.592274678111588,0.38227146814404434,0.46464646464646464,361.0
1.0,0.5173160173160173,0.7155688622754491,0.6005025125628141,334.0
accuracy,0.5424460431654676,0.5424460431654676,0.5424460431654676,0.5424460431654676
macro avg,0.5547953477138026,0.5489201652097467,0.5325744886046393,695.0
weighted avg,0.556251379254436,0.5424460431654676,0.5299355581774873,695.0
