timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,atr,hilo_high_ma,hilo_low_ma,hilo_signal,long_atr,short_atr,long_trail_stop,short_trail_stop,long_stop,short_stop,signal,long_trailing_stop,short_trailing_stop,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2020-01-01,7193.96,7193.75,7239.84,7174.58,18123516838.8979,130422953817.668,-0.00019459444494260061,188.52857142857152,7361.74125,7189.57125,-1,0.0,7382.278571428572,0.0,7382.278571428572,0,0,-1,0.0,7382.278571428572,False,False,0.00019459444494260061,0,0.0,0.00019459444494260061
2020-01-02,7194.41,6963.85,7203.05,6953.31,20313194628.09452,126280790200.20206,-0.032480111159292016,185.92285714285723,7339.555,7186.537499999999,-1,0.0,7149.772857142858,0.0,7149.772857142858,0,0,-1,0.0,7149.772857142858,False,False,0.032480111159292016,0,0.0,0.032480111159292016
2020-01-03,6963.31,7300.35,7371.04,6891.25,31015776262.21867,132766262579.09486,0.047189809881726635,212.15928571428574,7331.328750000001,7163.297500000001,-1,0.0,7512.509285714286,0.0,7149.772857142858,0,1,0,0.0,7149.772857142858,False,False,-0.048189809881726636,1,0.001,-0.047189809881726635
2020-01-04,7319.41,7351.38,7376.23,7269.76,20611640058.34164,133474716218.18333,0.006965758492512528,215.1242857142857,7327.52375,7127.876249999999,1,7136.255714285714,0.0,7136.255714285714,0.0,0,0,1,7136.255714285714,0.0,True,False,-0.001,1,0.001,0.0
2020-01-05,7348.62,7349.97,7473.64,7330.32,21929224570.56102,133388991086.87987,-0.0001918191192405128,199.7064285714286,7341.7225,7150.01,1,7150.263571428572,0.0,7150.263571428572,0.0,0,0,1,7150.263571428572,0.0,False,False,-0.0001918191192405128,0,0.0,-0.0001918191192405128
2020-01-06,7350.06,7734.68,7752.96,7349.44,28148518761.51164,140557168287.4443,0.05101788119117712,201.8185714285715,7357.4625,7160.77625,1,7532.861428571428,0.0,7532.861428571428,0.0,0,0,1,7532.861428571428,0.0,False,False,0.05101788119117712,0,0.0,0.05101788119117712
2020-01-07,7734.45,8147.42,8147.42,7734.45,34823187724.289955,147798610895.50055,0.051987199943561734,215.7107142857144,7389.37375,7168.8825,1,7931.709285714285,0.0,7931.709285714285,0.0,0,0,1,7931.709285714285,0.0,False,False,0.051987199943561734,0,0.0,0.051987199943561734
2020-01-08,8138.67,8045.79,8388.78,7899.66,39971512000.06816,146089575425.2795,-0.012552339456942431,241.3885714285716,7483.4975,7231.4475,1,7804.401428571428,0.0,7931.709285714285,0.0,0,0,1,7931.709285714285,0.0,False,False,-0.012552339456942431,0,0.0,-0.012552339456942431
2020-01-09,8027.56,7832.8,8038.98,7778.17,29276053440.88472,141913856953.47913,-0.026828928203834104,244.30000000000018,7619.12,7325.3462500000005,1,7588.5,0.0,7931.709285714285,0.0,1,0,0,7931.709285714285,0.0,False,False,-0.027828928203834105,1,0.001,-0.026828928203834104
2020-01-10,7826.99,8180.51,8180.51,7688.29,35777298156.26295,146879934259.3087,0.043434450801690144,267.31928571428585,7719.012500000001,7400.795,1,7913.190714285714,0.0,7931.709285714285,0.0,1,0,0,7931.709285714285,0.0,False,False,0.0,0,0.0,0.0
