,precision,recall,f1-score,support
0.0,0.5317725752508361,0.8808864265927978,0.6631908237747655,361.0
1.0,0.5567010309278351,0.16167664670658682,0.2505800464037123,334.0
accuracy,0.5352517985611511,0.5352517985611511,0.5352517985611511,0.5352517985611511
macro avg,0.5442368030893356,0.5212815366496923,0.45688543508923884,695.0
weighted avg,0.5437525812884154,0.5352517985611511,0.46490017680795714,695.0
