feature,count,missing,missing_pct,dtype,mean,std,min,max,q25,q50,q75
ethereum_open,997,0,0.0,float64,1841.5900702106317,1239.694809520433,153.08,4815.48,607.92,1669.69,2818.63
ethereum_close,997,0,0.0,float64,1842.9798796389166,1239.0668157856176,153.22,4815.0,610.43,1665.79,2817.4
ethereum_high,997,0,0.0,float64,1899.3029087261784,1275.4999506982701,159.0,4878.26,621.55,1725.38,2943.78
ethereum_low,997,0,0.0,float64,1777.6894684052158,1199.2185963876252,150.06,4738.6,584.19,1609.19,2736.96
ethereum_total_volume,997,0,0.0,float64,20166207971.34922,14535525661.620604,2179799161.0385365,140906534190.58786,11304953073.460001,16482912982.01206,24368105704.246353
ethereum_market_cap,997,0,0.0,float64,217529837009.06006,147111484847.12122,16933905371.155535,571665766496.0859,69545799024.42459,196797197824.30237,335476370747.3378
ethereum_open_btc,997,0,0.0,float64,0.054799123398602614,0.02008045570309459,0.02084726264202791,0.08780526941362916,0.03283544189314698,0.06393970318103624,0.07209723433852828
ethereum_high_btc,997,0,0.0,float64,0.05520058860327014,0.020198377971658774,0.02084726264202791,0.08809900444654312,0.03310129692470134,0.06385393521225588,0.07243839532755655
ethereum_low_btc,997,0,0.0,float64,0.05437309120238202,0.01994879841362792,0.020845251444556494,0.08687252217272246,0.03250684344183899,0.06323419162725522,0.0715365410187522
ethereum_close_btc,997,0,0.0,float64,0.054862254174179996,0.02007688852184441,0.020816814897222036,0.08770116762319415,0.03286273346178296,0.06393856462039352,0.07213073927658438
ethereum_volume_btc,997,0,0.0,float64,0.5697116180794101,0.2006393991925525,0.16823390863541143,1.8977751034547998,0.43076433168210987,0.5601182697229306,0.6791329920309156
bitcoin_open,997,0,0.0,float64,30980.507141424274,16604.65397645703,6628.93,67539.0,16794.65,30502.0,44483.0
bitcoin_close,997,0,0.0,float64,30988.661374122363,16595.76669219561,6629.43,67617.0,16806.49,30446.0,44495.0
bitcoin_high,997,0,0.0,float64,31763.914242728184,17063.559899507174,6907.73,69045.0,16994.52,31523.0,45784.0
bitcoin_low,997,0,0.0,float64,30114.47472417252,16098.168891576897,6554.15,66566.0,16569.89,29400.0,43341.0
bitcoin_total_volume,997,0,0.0,float64,34441142168.91089,17690227390.090317,9799252684.089952,178894068361.35312,22329797905.441616,29628245402.124134,41207912437.79217
bitcoin_market_cap,997,0,0.0,float64,583566833166.8556,312261995375.3007,121499498109.80829,1278797895528.3608,322740705484.67255,578090387085.146,838457486987.6113
solana_open,997,0,0.0,float64,51.02522210932799,61.00971141879381,0.514757,258.93,3.19,31.79,81.42
solana_close,997,0,0.0,float64,51.04136404212638,60.989851000265666,0.513923,259.24,3.21,31.73,81.61
solana_high,997,0,0.0,float64,53.3657002437312,63.49709852257932,0.557306,259.96,3.45,33.0,83.96
solana_low,997,0,0.0,float64,48.69725262888665,58.38392559535046,0.500801,247.01,2.98,30.65,78.41
solana_total_volume,997,0,0.0,float64,1068248178.0656464,1398134934.1523778,548910.1111122454,16149087501.300968,27350570.77388378,639618006.1446898,1528688330.072058
solana_market_cap,997,0,0.0,float64,15717299769.83245,18745233975.002922,4171226.2991002905,77427308372.12741,114219136.44905476,10070949099.133055,26300808792.830048
solana_open_btc,997,0,0.0,float64,0.001294281789690066,0.0011677747290066917,4.98648700087549e-05,0.0041977530275764795,0.00020218701182771705,0.0009233176838810642,0.00209815570348102
solana_high_btc,997,0,0.0,float64,0.0013234054308023685,0.001187987534649284,4.976002258610954e-05,0.0045099613377558995,0.00020405623989050643,0.0009427406386400183,0.0021132575564503796
solana_low_btc,997,0,0.0,float64,0.001267684951562825,0.0011467474924970022,4.883578965727741e-05,0.004025736095965104,0.00019236655399482787,0.0008976311897035123,0.002084591365384119
solana_close_btc,997,0,0.0,float64,0.0012952376969648902,0.001167544214236083,4.957801914998297e-05,0.004204278230972576,0.00020287576395404863,0.0009237886080089716,0.0021004620587814988
solana_volume_btc,997,0,0.0,float64,0.03412942059282014,0.039686470164329815,1.0540439774172567e-05,0.31576173063685187,0.0009254608215161062,0.0205675735335574,0.058471793609620105
credit_spread,997,0,0.0,float64,4.3197893681043125,1.1500968423373394,3.01,8.03,3.34,4.05,5.02
rty_ym_ratio,997,0,0.0,float64,0.060365232372926174,0.005161505553978632,0.05015166507515113,0.07344139963093069,0.0560144257655469,0.058886220421454166,0.06475391182175706
