date,puell_multiple
2010-01-01,1.4839836924868954
2010-01-02,1.393214852815439
2010-01-03,2.06145811192421
2010-01-04,1.9950776106782635
2010-01-05,2.169488472622479
2010-01-06,1.7772964899178494
2010-01-07,1.6714740253947489
2010-01-08,1.6530992836421765
2010-01-09,1.624900498245821
2010-01-10,2.036830357142858
2010-01-11,1.701207715307499
2010-01-12,1.697972439217064
2010-01-13,1.7492694330800709
2010-01-14,1.5246538528947835
2010-01-15,1.5026716108499525
2010-01-16,1.331494776162961
2010-01-17,1.3945111992533832
2010-01-18,1.3299422841485455
2010-01-19,1.31895672446452
2010-01-20,1.6784539713030069
2010-01-21,1.855105715613383
2010-01-22,1.4081626733190231
2010-01-23,1.6903039073806077
2010-01-24,1.6291336985189693
2010-01-25,2.230831619500044
2010-01-26,2.0557737854543356
2010-01-27,1.7256190723284042
2010-01-28,1.8589227139322095
2010-01-29,2.064455928797015
2010-01-30,2.194828622970536
2010-01-31,1.723175965665236
2010-02-01,1.9177065189457756
2010-02-02,1.5105028825846225
2010-02-03,2.8021837413631325
2010-02-04,2.3692564982000626
2010-02-05,2.3008536861148805
2010-02-06,1.9770919144614347
2010-02-07,2.2289919513705185
2010-02-08,2.050446604123364
2010-02-09,2.117869656622285
2010-02-10,1.7165411639559949
2010-02-11,1.7250202746161802
2010-02-12,1.8645842056779165
2010-02-13,2.3567393058918484
2010-02-14,2.1087131627919904
2010-02-15,1.781920057696042
2010-02-16,1.970296755619533
2010-02-17,2.406748330850301
2010-02-18,2.0893879348304707
2010-02-19,1.925063179870344
2010-02-20,2.0805700191833387
2010-02-21,2.2239678679745354
2010-02-22,2.5831564048124553
2010-02-23,2.474240780911063
2010-02-24,1.6894031668696707
2010-02-25,1.5194355841487803
2010-02-26,1.6940554251328963
2010-02-27,1.6914538204547906
2010-02-28,1.531756920345412
2010-03-01,1.9100716528459871
2010-03-02,1.8375599175213564
2010-03-03,1.4838192029954531
2010-03-04,1.80206025993435
2010-03-05,1.663069544364509
2010-03-06,1.7186751795690347
2010-03-07,1.734864577801381
2010-03-08,1.2111760021237057
2010-03-09,1.41322796223613
2010-03-10,1.5658183936657573
2010-03-11,1.2848711026414694
2010-03-12,1.1688500727802036
2010-03-13,1.4764044943820225
2010-03-14,1.2057346723044398
2010-03-15,1.3017806192539365
2010-03-16,1.2148347729614075
2010-03-17,1.3104886612634965
2010-03-18,1.3481071098799626
2010-03-19,1.4720845634753266
2010-03-20,1.8437253354380432
2010-03-21,1.7511732165797138
2010-03-22,1.7102060047640244
2010-03-23,1.973746081504702
2010-03-24,1.6276795493662968
2010-03-25,1.7767336526447317
2010-03-26,1.867856400665004
2010-03-27,1.6845571458203692
2010-03-28,1.7572149605280196
2010-03-29,1.838482202820685
2010-03-30,2.0220825066350594
2010-03-31,1.9606507659093244
2010-04-01,1.573841178584262
2010-04-02,1.459887700946081
2010-04-03,1.504942634706003
2010-04-04,1.5960466424589577
2010-04-05,1.427202330752127
2010-04-06,1.4812782357895808
2010-04-07,1.7937716439193323
2010-04-08,1.697458703939009
2010-04-09,1.749112576064909
2010-04-10,2.396948878561326
2010-04-11,2.050510139816098
2010-04-12,1.8626194067370536
2010-04-13,1.7309429417373412
2010-04-14,1.6462039589075417
2010-04-15,1.9703596331192368
2010-04-16,1.8390202534171405
2010-04-17,2.0065421258177656
2010-04-18,2.217881944444444
2010-04-19,2.0943288897682586
2010-04-20,1.8466645277524127
2010-04-21,1.9681152283639052
2010-04-22,1.4275699210390378
2010-04-23,1.3442840306423096
2010-04-24,1.5036414016331132
2010-04-25,1.412753239754048
2010-04-26,1.4645364910821324
2010-04-27,1.6044347847322284
2010-04-28,1.6019701550765637
2010-04-29,1.307669810630986
2010-04-30,1.280576941818536
2010-05-01,1.6249452634651878
2010-05-02,1.375349459098092
2010-05-03,1.4090269010391374
2010-05-04,1.2049713564423734
2010-05-05,1.2137725132287975
2010-05-06,1.3196399107056198
2010-05-07,1.1687933627674545
2010-05-08,1.3620393031088711
2010-05-09,1.2627618909372431
2010-05-10,1.1291297097421276
2010-05-11,0.9793801972539165
2010-05-12,1.1206333857125592
2010-05-13,1.1289932821033302
2010-05-14,1.0853116085674226
2010-05-15,0.8038285617482637
2010-05-16,0.9983057001089196
2010-05-17,1.2628535481841714
2010-05-18,1.4818394915540951
2010-05-19,1.4438360790178246
2010-05-20,1.7836165808097828
2010-05-21,1.5428955711403594
2010-05-22,1.7039741441225764
2010-05-23,1.835919807385158
2010-05-24,1.632371482265623
2010-05-25,1.8190232094546497
2010-05-26,1.9271474571455625
2010-05-27,1.6563851662766784
2010-05-28,1.918019652661592
2010-05-29,1.57967776079031
2010-05-30,1.277993185289625
2010-05-31,1.2166381070866878
2010-06-01,1.1549279268721429
2010-06-02,1.2565279501651017
2010-06-03,1.296807068393249
2010-06-04,1.0649844774865198
2010-06-05,1.2320746810690006
2010-06-06,1.2540625870554365
2010-06-07,1.3259828308304602
2010-06-08,1.3488855526042267
2010-06-09,1.413815364751453
2010-06-10,1.3440736478711164
2010-06-11,1.4087160283948632
2010-06-12,1.1307311028500615
2010-06-13,1.4458589975499738
2010-06-14,1.3345216059962066
2010-06-15,1.5312008390141585
2010-06-16,1.1797778384776474
2010-06-17,1.2111638900884107
