date,spot_cvd_sum
2019-03-30,11762.969368880007
2019-03-31,11241.570309479992
2019-04-01,11864.648963399995
2019-04-02,18930.67741436674
2019-04-03,8737.452006623133
2019-04-04,7095.878808160822
2019-04-05,11538.304223720512
2019-04-06,13000.395201509988
2019-04-07,11813.438813390008
2019-04-08,6958.359268237489
2019-04-09,7763.706771804505
2019-04-10,12951.330761519996
2019-04-11,1815.2904575799903
2019-04-12,9460.920404829998
2019-04-13,8870.875935030006
2019-04-14,12219.0639911526
2019-04-15,6165.431511920002
2019-04-16,11352.997375709996
2019-04-17,9423.481000600008
2019-04-18,11934.023598089994
2019-04-19,11512.67481632
2019-04-20,13159.701053690003
2019-04-21,11725.186227069991
2019-04-22,15099.348780460006
2019-04-23,13331.970372059992
2019-04-24,5490.962030844396
2019-04-25,-1044.6744110699724
2019-04-26,14783.952311380002
2019-04-27,8468.412465760004
2019-04-28,7869.297316920001
2019-04-29,9355.27236581501
2019-04-30,13421.779304549997
2019-05-01,12429.369806540002
2019-05-02,10480.16183477
2019-05-03,15033.137653559996
2019-05-04,10896.212730830026
2019-05-05,7711.21712629
2019-05-06,8973.79052659
2019-05-07,3493.332885990005
2019-05-08,10649.90618578
2019-05-09,14719.628547579994
2019-05-10,9303.104929999978
2019-05-11,14727.231419970012
2019-05-12,-7801.01719757016
2019-05-13,10219.378269619994
2019-05-14,3618.309520126857
2019-05-15,5607.153992279995
2019-05-16,-3004.7187272624947
2019-05-17,-9693.314618749935
2019-05-18,4608.569857940004
2019-05-19,7307.850739919998
2019-05-20,-1596.817663231314
2019-05-21,97.26849286999796
2019-05-22,-1552.868154339997
2019-05-23,7165.8696159199935
2019-05-24,5728.764683020027
2019-05-25,4349.847679735324
2019-05-26,11533.82027390007
2019-05-27,6451.7582919100605
2019-05-28,5469.029879379155
2019-05-29,4984.05377301001
2019-05-30,-3071.806248969926
2019-05-31,12283.97006422998
2019-06-01,4555.217457589991
2019-06-02,4781.795270690005
2019-06-03,-5861.181204280084
2019-06-04,-5810.979628359988
2019-06-05,4643.8094822799985
2019-06-06,3740.997531230009
2019-06-07,6272.553328779984
2019-06-08,3126.5777788800015
2019-06-09,-452.3340548599966
2019-06-10,8477.755044339985
2019-06-11,6902.234300240002
2019-06-12,9746.212909729997
2019-06-13,7438.825608479994
2019-06-14,13472.57188363999
2019-06-15,8693.53664484
2019-06-16,5979.082527560011
2019-06-17,9581.475816380003
2019-06-18,7594.9139940700115
2019-06-19,7677.383044609992
2019-06-20,10755.200611399994
2019-06-21,19454.42681028997
2019-06-22,6943.4215582700535
2019-06-23,10312.977564429992
2019-06-24,1679.7920085200112
2019-06-25,12979.435928979989
2019-06-26,18142.737811322673
2019-06-27,-34921.33436092562
2019-06-28,9971.076308786698
2019-06-29,-3169.508918224705
2019-06-30,-4725.358187595371
2019-07-01,-12538.812926929068
2019-07-02,-2815.8497920620553
2019-07-03,11290.433105184242
2019-07-04,-6687.840012321557
2019-07-05,527.9318159695307
2019-07-06,308.4519821292116
2019-07-07,7542.166542765572
2019-07-08,8274.514472903222
2019-07-09,3523.6190611645
