date,dormancy_flow
2010-01-01,508783.2399546801
2010-01-02,512171.4042555103
2010-01-03,516527.2577677871
2010-01-04,511439.5504350237
2010-01-05,515934.67507994047
2010-01-06,519903.31142705056
2010-01-07,523745.8477008659
2010-01-08,527586.0543804432
2010-01-09,531408.1419937243
2010-01-10,535855.6825192965
2010-01-11,539831.480211657
2010-01-12,522582.7675166006
2010-01-13,509717.6407162941
2010-01-14,506468.5633292923
2010-01-15,490526.4831291954
2010-01-16,491167.4138928744
2010-01-17,493004.99582118983
2010-01-18,493847.8472225018
2010-01-19,497135.2783573633
2010-01-20,500806.65779999696
2010-01-21,504387.73448515456
2010-01-22,507436.38581207034
2010-01-23,510721.2354335655
2010-01-24,514327.4074334926
2010-01-25,516996.6080716211
2010-01-26,520122.41997006215
2010-01-27,522794.7103031029
2010-01-28,524879.3823932174
2010-01-29,528129.7024171
2010-01-30,527121.5903636017
2010-01-31,534112.9689439402
2010-02-01,538776.8370920558
2010-02-02,540123.5766847017
2010-02-03,545867.7764397389
2010-02-04,548301.5281552084
2010-02-05,540942.7827125777
2010-02-06,542361.4774102991
2010-02-07,548461.0400151616
2010-02-08,541177.049218074
2010-02-09,522347.50255888206
2010-02-10,514050.89066550264
2010-02-11,515605.8918269369
2010-02-12,517040.9860996265
2010-02-13,510444.9068826424
2010-02-14,512881.59151563846
2010-02-15,515697.3559151509
2010-02-16,518641.8671694944
2010-02-17,520251.9842979718
2010-02-18,521646.99739064096
2010-02-19,523802.6168363096
2010-02-20,525732.2823715862
2010-02-21,527131.8436918915
2010-02-22,527216.4851415363
2010-02-23,530043.4556392132
2010-02-24,523933.54659667023
2010-02-25,523414.968781679
2010-02-26,523971.3293714124
2010-02-27,526459.5341879841
2010-02-28,524290.4927232667
2010-03-01,525385.3785763547
2010-03-02,526671.492879464
2010-03-03,528027.2645553758
2010-03-04,512336.6099678796
2010-03-05,510687.3497277154
2010-03-06,505849.9355484602
2010-03-07,506160.31252780854
2010-03-08,495820.2108950621
2010-03-09,495049.60042432137
2010-03-10,494702.8647960981
2010-03-11,490315.8470884477
2010-03-12,491284.28083570726
2010-03-13,489143.99572959275
2010-03-14,489768.7687512175
2010-03-15,488705.1409366693
2010-03-16,469580.6260947228
2010-03-17,455743.58262089576
2010-03-18,455581.6640977835
2010-03-19,454715.2877396285
2010-03-20,453964.8013285978
2010-03-21,455351.1768493382
2010-03-22,457699.86481588025
2010-03-23,451121.54464953294
2010-03-24,451457.2073600908
