,precision,recall,f1-score,support
0.0,0.5835294117647059,0.6869806094182825,0.6310432569974553,361.0
1.0,0.5814814814814815,0.47005988023952094,0.5198675496688742,334.0
accuracy,0.5827338129496403,0.5827338129496403,0.5827338129496403,0.5827338129496403
macro avg,0.5825054466230937,0.5785202448289017,0.5754554033331647,695.0
weighted avg,0.582545226563847,0.5827338129496403,0.57761493146113,695.0
