timestamp,dogecoin_open,dogecoin_close,dogecoin_high,dogecoin_low,dogecoin_total_volume,dogecoin_market_cap,dogecoin_open_btc,dogecoin_high_btc,dogecoin_low_btc,dogecoin_close_btc,dogecoin_volume_btc,dogecoin_log_return_1,sma_fast,sma_slow,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-17,0.177368,0.171459,0.17774,0.16606,1063970348.6869845,22747552403.351643,4.111641708006862e-06,4.115876250463135e-06,3.987896544271271e-06,4.053595914700459e-06,0.060128543666707196,-0.035459893342392634,0.17222071428571425,0.1655114705882353,1,0.030459893342392633,1,0.005,0.035459893342392634,,,,,
2022-01-18,0.171646,0.165369,0.173695,0.16217,942911903.5927486,21963345668.81337,4.056770107064357e-06,4.0753384481828205e-06,3.922929920897942e-06,3.900672249085977e-06,0.04989493045985059,-0.03616483037171376,0.17389457142857143,0.16502611764705882,1,-0.03616483037171376,0,0.0,-0.03616483037171376,,,,,
2022-01-19,0.165339,0.162454,0.168419,0.159805,842874979.8602545,21552882773.990726,3.8994127496993e-06,3.948585093662814e-06,3.874624187760644e-06,3.89111377245509e-06,0.04294660723526632,-0.017784455824923356,0.1740312857142857,0.16431370588235295,1,-0.017784455824923356,0,0.0,-0.017784455824923356,,,,,
2022-01-20,0.162237,0.155182,0.169783,0.155182,749567507.6226405,20710594131.613968,3.885730024908986e-06,3.9023397995770894e-06,3.8120762503684775e-06,3.8120762503684775e-06,0.035812788465145434,-0.045796263131333656,0.17153185714285715,0.16341611764705882,1,-0.045796263131333656,0,0.0,-0.045796263131333656,,,,,
2022-01-21,0.155167,0.142102,0.157714,0.139239,1306756194.3590274,18923128291.17786,3.815550692207441e-06,3.829961873770611e-06,3.893490296963257e-06,3.8922457476238734e-06,0.034121669010339736,-0.0880535120421823,0.16560314285714287,0.16185823529411764,1,-0.0880535120421823,0,0.0,-0.0880535120421823,,,,,
2022-01-22,0.141942,0.133411,0.145298,0.121826,1895282614.3690817,17699687754.98912,3.9011130960560675e-06,3.948207929132361e-06,3.5810111699000588e-06,3.792239909039227e-06,0.053362183247732814,-0.06311052074676372,0.15823214285714288,0.16029417647058825,-1,-0.06811052074676373,1,0.005,-0.06311052074676372,,,,,
2022-01-23,0.133522,0.141665,0.14352,0.133522,1305187981.3694725,18771666642.58346,3.791192254180982e-06,3.909987467988885e-06,3.836287889671024e-06,3.901972125819424e-06,0.05708226982053284,0.060030526628619726,0.15309171428571428,0.15918699999999997,-1,-0.060030526628619726,0,0.0,-0.060030526628619726,,,,,
2022-01-24,0.141797,0.137862,0.141797,0.12603,1427948963.9205914,18317867949.094635,3.910023438577141e-06,3.7836748852599e-06,3.811583245123242e-06,3.7488986784140973e-06,0.0392453688483323,-0.027211930657598884,0.14829214285714284,0.15816335294117648,-1,0.027211930657598884,0,0.0,0.027211930657598884,,,,,
2022-01-25,0.137846,0.143777,0.146784,0.133304,1529788138.778339,19074976247.499374,3.7585821404226312e-06,3.909860955729583e-06,3.7332735878119136e-06,3.88702046554381e-06,0.033134588932741696,0.04201030330368395,0.14520757142857144,0.15771823529411766,-1,-0.04201030330368395,0,0.0,-0.04201030330368395,,,,,
2022-01-26,0.143409,0.143977,0.153398,0.141416,1192737503.9925354,19186152852.94685,3.8806386145311865e-06,3.9116177070583435e-06,3.889863842662632e-06,3.904990507187415e-06,0.04457686331924012,0.001390076469520569,0.142568,0.1573324117647059,-1,-0.001390076469520569,0,0.0,-0.001390076469520569,,,,,
