,precision,recall,f1-score,support
0.0,0.5529100529100529,0.6147058823529412,0.5821727019498606,340.0
1.0,0.5867507886435331,0.523943661971831,0.5535714285714285,355.0
accuracy,0.5683453237410072,0.5683453237410072,0.5683453237410072,0.5683453237410072
macro avg,0.569830420776793,0.5693247721623861,0.5678720652606446,695.0
weighted avg,0.5701956085724781,0.5683453237410072,0.5675634184256255,695.0
