timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,barrier_touched,return_at_barrier,bitcoin_close_topo_num_holes_0,bitcoin_close_topo_betti_0,bitcoin_close_topo_max_hole_lifetime_0,bitcoin_close_topo_avg_hole_lifetime_0,bitcoin_close_topo_l1_norm_0,bitcoin_close_topo_l2_norm_0,bitcoin_close_topo_sum_hole_lifetimes_0,bitcoin_close_topo_persistence_entropy_0,bitcoin_close_topo_std_persistence_0,bitcoin_close_topo_wasserstein_0,bitcoin_close_topo_num_holes_1,bitcoin_close_topo_betti_1,bitcoin_close_topo_max_hole_lifetime_1,bitcoin_close_topo_avg_hole_lifetime_1,bitcoin_close_topo_l1_norm_1,bitcoin_close_topo_l2_norm_1,bitcoin_close_topo_sum_hole_lifetimes_1,bitcoin_close_topo_persistence_entropy_1,bitcoin_close_topo_std_persistence_1,bitcoin_close_topo_wasserstein_1,bitcoin_log_return_1,strategy_returns,position_change,transaction_cost,strategy_returns_gross,meta_prediction
2020-01-01,7193.96,7193.75,7239.84,7174.58,18123516838.8979,130422953817.668,0.0,0.0,upper,0.0725,41.0,41.0,0.41771766543388367,0.17673654799781194,7.24619846791029,1.3774351138663985,7.24619846791029,3.484049663190894,0.12263960582433116,0.37754831090569496,1.0,1.0,0.010893508791923523,0.010893508791923523,0.010893508791923523,0.010893508791923523,0.010893508791923523,-0.0,0.0,0.011965153132458554,-0.00019459444494260061,-0.0,0,0.0,-0.0,0.0
2020-01-02,7194.41,6963.85,7203.05,6953.31,20313194628.09452,126280790200.20206,0.0,0.0,upper,0.0472,41.0,41.0,0.44368672370910645,0.18026232555872057,7.390755347907543,1.406262834531622,7.390755347907543,3.4873264288955474,0.1254553086430409,0.37551912665367126,2.0,2.0,0.011570736765861511,0.00922856479883194,0.01845712959766388,0.013464930580539892,0.01845712959766388,0.660586025094507,0.0023421719670295715,0.018864463472742298,-0.032480111159292016,0.0,0,0.0,0.0,0.0
2020-01-03,6963.31,7300.35,7371.04,6891.25,31015776262.21867,132766262579.09486,0.0,0.0,upper,0.0578,41.0,41.0,0.47492101788520813,0.1834236172641196,7.520368307828903,1.4504972539455612,7.520368307828903,3.472964241487345,0.13293397641660862,0.4322132542729378,2.0,2.0,0.012385293841362,0.009878240525722504,0.019756481051445007,0.014412838180697472,0.019756481051445007,0.6605861220516724,0.002507053315639496,0.026914171665388963,0.047189809881726635,-0.0,0,0.0,-0.0,0.0
2020-01-04,7319.41,7351.38,7376.23,7269.76,20611640058.34164,133474716218.18333,0.0,0.0,upper,0.1028,41.0,41.0,0.5118355751037598,0.1859977454764814,7.625907564535737,1.4859111024442677,7.625907564535737,3.4605213616865487,0.1387689947579532,0.45309888385236263,2.0,2.0,0.013347968459129333,0.010646037757396698,0.021292075514793396,0.015533096886898088,0.021292075514793396,0.6605857837979741,0.0027019307017326355,0.029025712705906856,0.006965758492512528,-0.0,0,0.0,-0.0,0.0
2020-01-05,7348.62,7349.97,7473.64,7330.32,21929224570.56102,133388991086.87987,0.0,0.0,upper,0.051,41.0,41.0,0.5574584007263184,0.19181151456404022,7.8642720971256495,1.5437323473526492,7.8642720971256495,3.4549808548435035,0.1460580922157202,0.49570610374212265,2.0,2.0,0.014537736773490906,0.011594973504543304,0.02318994700908661,0.016917639683367677,0.02318994700908661,0.6605858805414058,0.0029427632689476013,0.0314535397675284,-0.0001918191192405128,0.0,0,0.0,0.0,0.0
2020-01-06,7350.06,7734.68,7752.96,7349.44,28148518761.51164,140557168287.4443,1.0,1.0,upper,0.056,41.0,41.0,0.5630673766136169,0.20450611539730212,8.384750731289387,1.621036808892486,8.384750731289387,3.4744412883428883,0.1492278937465792,0.665731517598033,2.0,2.0,0.016115278005599976,0.012853190302848816,0.025706380605697632,0.018753437932373208,0.025706380605697632,0.6605860125603207,0.0032620877027511597,0.03457492483153308,0.05101788119117712,-0.001,1,0.001,-0.0,1.0
2020-01-07,7734.45,8147.42,8147.42,7734.45,34823187724.289955,147798610895.50055,1.0,1.0,time,0.0029,41.0,41.0,0.6319694519042969,0.2276806084484589,9.334904946386814,1.79880046072657,9.334904946386814,3.4787060153694296,0.16456196545924814,0.965295821428299,2.0,2.0,0.018087297677993774,0.014426037669181824,0.028852075338363647,0.02104829625811926,0.028852075338363647,0.6605861922889664,0.0036612600088119507,0.038578654169113324,0.051987199943561734,0.051987199943561734,0,0.0,0.051987199943561734,1.0
2020-01-08,8138.67,8045.79,8388.78,7899.66,39971512000.06816,146089575425.2795,1.0,1.0,time,0.008,41.0,41.0,0.717979907989502,0.25021151398740166,10.258672073483467,1.9490324754567931,10.258672073483467,3.495981917174383,0.17333808213013285,1.1356733217835426,2.0,2.0,0.020558655261993408,0.016397148370742798,0.032794296741485596,0.023924239352509393,0.032794296741485596,0.6605863770212911,0.00416150689125061,0.04359056773321061,-0.012552339456942431,-0.012552339456942431,0,0.0,-0.012552339456942431,1.0
2020-01-09,8027.56,7832.8,8038.98,7778.17,29276053440.88472,141913856953.47913,1.0,1.0,upper,0.1166,41.0,41.0,0.8310027122497559,0.27524886125834974,11.28520331159234,2.1228013255068925,11.28520331159234,3.5104425240689894,0.18479032989884422,1.2302395291626453,2.0,2.0,0.023794949054718018,0.01897832751274109,0.03795665502548218,0.027690314489348132,0.03795665502548218,0.6605860290497885,0.004816621541976929,0.05002847776982547,-0.026828928203834104,-0.026828928203834104,0,0.0,-0.026828928203834104,1.0
2020-01-10,7826.99,8180.51,8180.51,7688.29,35777298156.26295,146879934259.3087,1.0,1.0,upper,0.0732,41.0,41.0,0.8954920172691345,0.30683458160336424,12.580217845737934,2.322110239419431,12.580217845737934,3.5278636984477263,0.19331196099672618,1.4719007350504398,2.0,2.0,0.027152419090270996,0.021656185388565063,0.04331237077713013,0.0315974350379162,0.04331237077713013,0.6605862347178415,0.005496233701705933,0.05746587924545189,0.043434450801690144,0.043434450801690144,0,0.0,0.043434450801690144,1.0
