timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,returns_1d,returns_7d,sma_7,sma_21,price_vs_sma7,price_vs_sma21,volume_sma_7,volume_ratio,volatility_7d,signal,confidence,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-21,40667.0,36509.0,41179.0,35762.0,38296960033.31628,692855029162.9379,-0.10886582779347702,-0.10314925813107989,-0.15333596159643792,41429.57142857143,43049.80952380953,-0.1187695469419704,-0.15193585282164856,20649924463.351196,1.8545811197171427,0.0369974682903776,-1,0.16829662323293615,-0.10986582779347702,1,0.001,-0.10886582779347702,,,,,
2022-01-22,36385.0,35180.0,36801.0,34020.0,35517336417.257744,666220701468.4846,-0.03708106622679605,-0.036401983072667066,-0.18615680014805558,40280.0,42448.09523809524,-0.12661370407149952,-0.17122311843035187,23630828433.711643,1.503008517745779,0.035446059424737705,1,0.9030275518092198,0.03608106622679605,1,0.001,0.03708106622679605,,,,,
2022-01-23,35219.0,36306.0,36706.0,34805.0,22865032968.608204,687575973800.0704,0.03150527755882725,0.03200682205798744,-0.1580241187384045,39306.57142857143,41920.42857142857,-0.07633765346397914,-0.13393061003329443,24832640802.291332,0.9207652601530171,0.04152756863039275,1,0.8140893152520481,0.03150527755882725,0,0.0,0.03150527755882725,,,,,
2022-01-24,36265.0,36774.0,37476.0,33065.0,36385158448.60688,696465421899.37,0.012808056863410392,0.012890431333663965,-0.13059719135656533,38517.42857142857,41455.80952380953,-0.045263368716202734,-0.11293494392192727,27502673491.257195,1.322968054730146,0.04379083945234886,1,0.8751897144025815,0.012808056863410392,0,0.0,0.012808056863410392,,,,,
2022-01-25,36675.0,36989.0,37542.0,35707.0,46168918584.85349,700571452648.8236,0.00582949741367499,0.005846521999238519,-0.1275150371506074,37745.142857142855,41029.666666666664,-0.020032851909044025,-0.09848158649432515,31398526139.05255,1.4704167444162282,0.044097420295471576,1,0.8758647698432515,0.00582949741367499,0,0.0,0.00582949741367499,,,,,
2022-01-26,36955.0,36870.0,39216.0,36355.0,26756873749.744743,700165819656.2855,-0.0032223588992716396,-0.0032171726729568473,-0.11688622754491018,37048.0,40706.95238095238,-0.0048045778449579135,-0.0942579131211938,32417206201.936924,0.8253911081376909,0.044474557835382164,1,0.8891906457512474,-0.0032223588992716396,0,0.0,-0.0032223588992716396,,,,,
2022-01-27,36886.0,37277.0,37277.0,35580.0,22057410457.280827,702311456032.8538,0.01097830223027956,0.011038784919989109,-0.08428318757983688,36557.857142857145,40424.142857142855,0.019671362419647842,-0.07785305104092666,32578241522.809742,0.6770595779958618,0.04543292150865591,1,0.8173588096371398,0.01097830223027956,0,0.0,0.01097830223027956,,,,,
2022-01-28,37367.0,37853.0,38022.0,36244.0,19214103304.052933,717026944842.8334,0.015333722503979153,0.015451887222684313,0.03681284066942392,36749.857142857145,40249.19047619047,0.030017609397898548,-0.05953388000705129,29852119132.914974,0.6436428589375233,0.021286622698325913,1,0.7633756179601064,0.015333722503979153,0,0.0,0.015333722503979153,,,,,
2022-01-29,37782.0,38232.0,38782.0,37422.0,14178650231.62196,722829009646.1814,0.009962624295545223,0.010012416453121231,0.086753837407618,37185.857142857145,40081.333333333336,0.028132815471319628,-0.04613951631682256,26803735392.109863,0.5289803836742728,0.010702672989563705,1,0.877456975390611,0.009962624295545223,0,0.0,0.009962624295545223,,,,,
2022-01-30,38254.0,37983.0,38386.0,37504.0,11807185113.633108,719570142321.8397,-0.006534170069631306,-0.0065128688010044344,0.04619071227896221,37425.42857142857,39896.619047619046,0.014898197558573578,-0.04796444143136602,25224042841.399136,0.468092493652702,0.008347621954451953,-1,0.09433384355750643,-0.007534170069631306,1,0.001,-0.006534170069631306,,,,,
