,precision,recall,f1-score,support
0.0,0.5299145299145299,0.8587257617728532,0.6553911205073996,361.0
1.0,0.5363636363636364,0.17664670658682635,0.26576576576576577,334.0
accuracy,0.5309352517985612,0.5309352517985612,0.5309352517985612,0.5309352517985612
macro avg,0.5331390831390832,0.5176862341798398,0.4605784431365827,695.0
weighted avg,0.533013812726043,0.5309352517985612,0.4681467054229309,695.0
