,precision,recall,f1-score,support
0.0,0.5313028764805414,0.8698060941828255,0.6596638655462185,361.0
1.0,0.5480769230769231,0.17065868263473055,0.26027397260273977,334.0
accuracy,0.5338129496402878,0.5338129496402878,0.5338129496402878,0.5338129496402878
macro avg,0.5396898997787323,0.5202323884087781,0.4599689190744791,695.0
weighted avg,0.5393640729743421,0.5338129496402878,0.46772685224676247,695.0
