timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,barrier_touched,return_at_barrier,bitcoin_log_return_1,bitcoin_close_topo_num_holes_0_x,bitcoin_close_topo_betti_0_x,bitcoin_close_topo_max_hole_lifetime_0_x,bitcoin_close_topo_avg_hole_lifetime_0_x,bitcoin_close_topo_l1_norm_0_x,bitcoin_close_topo_l2_norm_0_x,bitcoin_close_topo_sum_hole_lifetimes_0_x,bitcoin_close_topo_persistence_entropy_0_x,bitcoin_close_topo_std_persistence_0_x,bitcoin_close_topo_wasserstein_0_x,bitcoin_close_topo_num_holes_1_x,bitcoin_close_topo_betti_1_x,bitcoin_close_topo_max_hole_lifetime_1_x,bitcoin_close_topo_avg_hole_lifetime_1_x,bitcoin_close_topo_l1_norm_1_x,bitcoin_close_topo_l2_norm_1_x,bitcoin_close_topo_sum_hole_lifetimes_1_x,bitcoin_close_topo_persistence_entropy_1_x,bitcoin_close_topo_std_persistence_1_x,bitcoin_close_topo_wasserstein_1_x,strategy_returns,position_change,transaction_cost,strategy_returns_gross,bitcoin_close_topo_num_holes_0_y,bitcoin_close_topo_betti_0_y,bitcoin_close_topo_max_hole_lifetime_0_y,bitcoin_close_topo_avg_hole_lifetime_0_y,bitcoin_close_topo_l1_norm_0_y,bitcoin_close_topo_l2_norm_0_y,bitcoin_close_topo_sum_hole_lifetimes_0_y,bitcoin_close_topo_persistence_entropy_0_y,bitcoin_close_topo_std_persistence_0_y,bitcoin_close_topo_wasserstein_0_y,bitcoin_close_topo_num_holes_1_y,bitcoin_close_topo_betti_1_y,bitcoin_close_topo_max_hole_lifetime_1_y,bitcoin_close_topo_avg_hole_lifetime_1_y,bitcoin_close_topo_l1_norm_1_y,bitcoin_close_topo_l2_norm_1_y,bitcoin_close_topo_sum_hole_lifetimes_1_y,bitcoin_close_topo_persistence_entropy_1_y,bitcoin_close_topo_std_persistence_1_y,bitcoin_close_topo_wasserstein_1_y
2022-10-27,20781.0,20278.0,20876.0,20261.0,41829789298.17936,389238872375.6226,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001,,,,,,,,,,,,,,,,,,,,,
2022-10-28,20282.0,20591.0,20716.0,20095.0,36165609164.5681,395201306734.5831,0.0,,,,0.015317532595621583,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-10-29,20585.0,20801.0,20946.0,20575.0,32806216910.570454,399135164712.3964,0.0,,,,0.010146975348681435,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-10-30,20818.0,20624.0,20908.0,20542.0,24707906148.749344,395548335410.141,0.0,,,,-0.008545616277859401,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-10-31,20624.0,20495.0,20800.0,20262.0,37290619694.72375,393311097043.5727,0.0,,,,-0.006274492240530732,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-01,20493.0,20490.0,20645.0,20285.0,32262771910.727066,393218202887.5868,0.0,,,,-0.0002439917054925371,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-02,20489.0,20163.0,20705.0,20065.0,44539856162.44828,387015867490.0914,0.0,,,,-0.01608772059486986,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-03,20161.0,20211.0,20388.0,20091.0,36562782563.979164,387756249891.6283,0.0,,,,0.002377768990693913,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-04,20206.0,21150.0,21241.0,20206.0,33773463079.332672,405987599945.2726,0.0,,,,0.04541289484565445,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-05,21147.0,21283.0,21454.0,21124.0,31061573100.604958,408892506459.0742,0.0,,,,0.006268726488379846,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-06,21280.0,20907.0,21337.0,20907.0,50602704770.812515,401869336200.07385,0.0,,,,-0.017824600856175276,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-07,20922.0,20598.0,21017.0,20433.0,91750982446.38734,395168506455.3059,0.0,,,,-0.014890047420881423,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-08,20600.0,18562.35,20671.0,17579.02,92144963385.0274,356871594631.61395,0.0,,,,-0.10405864798142236,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-09,18579.39,15742.44,18749.92,15663.49,74978675390.59279,301963847693.52637,0.0,,,,-0.16477508568742277,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-10,15920.79,17594.92,18106.79,15835.92,65200666543.364624,336597208099.6668,0.0,,,,0.11124997398221241,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-11,17602.79,17080.22,17624.47,16569.89,45030331310.74984,325921112619.09045,0.0,,,,-0.029689155177446132,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-12,17088.94,16797.99,17101.87,16640.26,21893997140.860477,322330608513.1628,0.0,,,,-0.01666183244523814,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-13,16794.65,16344.34,16915.46,16312.86,20411619109.007805,313605586517.2854,0.0,,,,-0.02737757635427889,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-14,16335.29,16645.83,17176.32,15906.19,37539226046.106285,320598982524.9025,0.0,,,,0.01827807456803692,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-15,16632.61,16890.53,17171.27,16573.54,28676275678.9418,324608360619.00433,0.0,,,,0.01459337523383673,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-16,16901.94,16689.4,16997.06,16437.01,26922027947.408913,320099234744.2721,0.0,,,,-0.011979322484809997,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-17,16677.87,16718.36,16732.97,16417.31,22011291267.356167,321287480849.7667,0.0,,,,0.0017337293643175822,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-18,16711.92,16707.02,16994.52,16581.98,20942172141.414623,320876918352.4405,0.0,,,,-0.00067852634345979,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-19,16705.26,16712.73,16794.94,16558.64,10844466289.901127,321151208473.7581,0.0,,,,0.00034171410950487155,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-20,16711.87,16304.08,16746.26,16254.32,15680401749.958439,313370674122.3842,0.0,,,,-0.024755321247764955,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-21,16298.41,15814.34,16299.24,15649.4,31057277097.34788,303834128504.1595,0.0,,,,-0.030498259885295455,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-22,15794.33,16171.63,16269.92,15686.55,25091849198.571053,311463297390.4882,0.0,,,,0.022341349112204898,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-23,16225.09,16608.01,16632.65,16191.07,26858079944.170044,319494112507.07404,0.0,,,,0.026626636636172478,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2022-11-24,16633.46,16596.04,16769.37,16484.24,20949512927.386944,318949911014.53784,0.0,,,,-0.0007209964157103201,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
2022-11-25,16605.8,16524.45,16613.15,16400.96,18933018587.76629,317919884011.3825,0.0,,,,-0.0043230104078748775,,,,,,,,,,,,,,,,,,,,,-0.0,0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,
