feature_name,feature_type
bitcoin_close_topo_l3_norm_3_y,topological
bitcoin_close_topo_persistence_entropy_3_y,topological
bitcoin_close_topo_std_persistence_3_y,topological
bitcoin_close_topo_wasserstein_3_y,topological
bitcoin_close_topo_num_holes_0_ma5_y,topological
bitcoin_close_topo_num_holes_0_ma10_y,topological
bitcoin_close_topo_max_hole_lifetime_0_ma5_y,topological
bitcoin_close_topo_avg_hole_lifetime_0_ma5_y,topological
bitcoin_close_topo_num_relevant_holes_0_ma5_y,topological
bitcoin_close_topo_l1_norm_0_ma5_y,topological
bitcoin_close_topo_l1_norm_0_ma10_y,topological
bitcoin_close_topo_persistence_entropy_0_ma5_y,topological
bitcoin_close_topo_num_holes_1_ma5_y,topological
bitcoin_close_topo_num_holes_1_ma10_y,topological
bitcoin_close_topo_max_hole_lifetime_1_ma5_y,topological
bitcoin_close_topo_avg_hole_lifetime_1_ma5_y,topological
bitcoin_close_topo_num_relevant_holes_1_ma5_y,topological
bitcoin_close_topo_l1_norm_1_ma5_y,topological
bitcoin_close_topo_l1_norm_1_ma10_y,topological
bitcoin_close_topo_persistence_entropy_1_ma5_y,topological
bitcoin_close_topo_num_holes_2_ma5_y,topological
bitcoin_close_topo_num_holes_2_ma10_y,topological
bitcoin_close_topo_max_hole_lifetime_2_ma5_y,topological
bitcoin_close_topo_avg_hole_lifetime_2_ma5_y,topological
bitcoin_close_topo_num_relevant_holes_2_ma5_y,topological
bitcoin_close_topo_l1_norm_2_ma5_y,topological
bitcoin_close_topo_l1_norm_2_ma10_y,topological
bitcoin_close_topo_persistence_entropy_2_ma5_y,topological
bitcoin_close_topo_num_holes_3_ma5_y,topological
bitcoin_close_topo_num_holes_3_ma10_y,topological
bitcoin_close_topo_max_hole_lifetime_3_ma5_y,topological
bitcoin_close_topo_avg_hole_lifetime_3_ma5_y,topological
bitcoin_close_topo_num_relevant_holes_3_ma5_y,topological
bitcoin_close_topo_l1_norm_3_ma5_y,topological
bitcoin_close_topo_l1_norm_3_ma10_y,topological
bitcoin_close_topo_persistence_entropy_3_ma5_y,topological
signal,primary
